Location,AZ
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Run lifetime simulation,0.0,0/1
Daily average solar irradiance,4.184844622404136,kWh/m2/day
Annual AC output,8902948.858940363,kWh
Annual energy,8902948.858940365,kWh
Capacity factor,13.550911505236478,%
Energy yield,1187.0598478587153,kWh/kW
Location ID,1187.0598478587153,
City,1187.0598478587153,
State,1187.0598478587153,
Latitude,43.09000015258789,deg
Longitude,-74.9000015258789,deg
Time zone,-5.0,hr
Site elevation,390.0,m
Inverter efficiency at rated power,96.0,%
Estimated number of rows in the system,159.0,
Time offset for interpreting time series outputs,0.5,hours
Estimated percent of total completed simulation,99.89726257324219,%
Capacity factor of the interconnection (year 1),0.0,%
Annual Energy AC pre-interconnection (year 1),0.0,kWh
Annual Energy AC (year 1),8902948.858940365,kWh
Annual Energy loss from interconnection limit (year 1),0.0,%
Annual Energy loss from interconnection limit (year 1),0.0,kWh
Capacity factor of the curtailment (year 1),0.0,%
Annual Energy AC pre-curtailment (year 1),8902948.858940365,kWh
Annual Energy loss from curtailment (year 1),0.0,%
Annual Energy loss from curtailment (year 1),0.0,kWh
Annual energy production as function of time,0.0,kW

Hour,System power generated (kW),Annual energy production as function of time (kW),Irradiance GHI from weather file (W/m2),Irradiance DNI from weather file (W/m2),Irradiance DHI from weather file (W/m2),Weather file ambient temperature (C),Weather file wind speed (m/s),Weather file snow depth (cm),Sun up over horizon (0/1),Shading factor for beam radiation (),Angle of incidence (deg),Plane of array irradiance (W/m2),Transmitted plane of array irradiance (W/m2),Module temperature (C),DC power loss due to snow (%),DC inverter input power (W),AC inverter output power (W),System power generated (kW),Annual energy production as function of time (kW),System power generated (kW),System power before grid interconnect (kW),System power before grid curtailment (kW)
20,0.0,0.0,0.0,0.0,0.0,2.0,0.5,nan,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,2.0,0.5,nan,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,3.0,0.6000000238418579,nan,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,3.0,0.6000000238418579,nan,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,3.0,0.5,nan,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,2.0,0.5,nan,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,2.0,0.6000000238418579,nan,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,1.0,0.800000011920929,nan,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,-1.0,0.6000000238418579,nan,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1529.7183050315143,1529.7183050315143,110.0,504.0,42.0,0.0,0.699999988079071,nan,1.0,1.0,61.693552667569676,242.25014299796064,234.48821717543927,6.221821513766201,1.0,1603186.2937586044,1529718.3050315143,1529.7183050315143,1529.7183050315143,1529.7183050315143,0.0,1529.7183050315143
33,455.2508867140107,455.2508867140107,81.0,0.0,81.0,0.0,0.8999999761581421,nan,1.0,1.0,49.95947585547737,73.1860933693843,70.24302276981933,1.265601978715381,1.0,503192.33795576444,455250.8867140107,455.2508867140107,455.2508867140107,455.2508867140107,0.0,455.2508867140107
34,349.3641177540455,349.3641177540455,68.0,0.0,68.0,0.0,1.0,nan,1.0,1.0,40.12715043134949,57.17284037353743,54.87025630776507,-0.41555197542891165,1.0,395121.28444595635,349364.11775404547,349.3641177540455,349.3641177540455,349.3641177540455,0.0,349.3641177540455
35,143.94845638615277,143.94845638615277,32.0,0.0,32.0,0.0,1.0,nan,1.0,1.0,33.96528153878295,26.825620465291852,25.745173932952856,-1.5849317054303356,1.0,185636.50419718563,143948.45638615277,143.94845638615277,143.94845638615277,143.94845638615277,0.0,143.94845638615277
36,2340.335421637511,2340.335421637511,252.0,187.0,177.0,0.0,0.8999999761581421,nan,1.0,1.0,33.57904374681039,356.65187834137964,351.45053864703027,9.725851644755608,1.0,2437154.4443654986,2340335.421637511,2340.335421637511,2340.335421637511,2340.335421637511,0.0,2340.335421637511
37,2029.28628520481,2029.28628520481,216.0,177.0,152.0,0.0,0.8999999761581421,nan,1.0,1.0,39.14079934152738,309.55819139586845,304.8669308705094,10.066046041346226,1.0,2116725.4361692593,2029286.2852048099,2029.28628520481,2029.28628520481,2029.28628520481,0.0,2029.28628520481
38,1745.0674677532759,1745.0674677532759,165.0,189.0,113.0,0.0,0.800000011920929,nan,1.0,1.0,48.64122091938271,265.7053955744937,261.0545726224209,8.596813591989758,1.0,1824393.241902688,1745067.4677532758,1745.0674677532759,1745.0674677532759,1745.0674677532759,0.0,1745.0674677532759
39,146.7158891618669,146.7158891618669,33.0,0.0,33.0,-2.0,0.699999988079071,nan,1.0,1.0,60.21236795000278,27.681232765286733,26.56634016368775,-2.085198078581641,1.0,188457.28395796622,146715.8891618669,146.7158891618669,146.7158891618669,146.7158891618669,0.0,146.7158891618669
40,0.0,0.0,0.0,0.0,0.0,-3.0,0.699999988079071,nan,1.0,1.0,72.52490042308528,0.0,0.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,-3.0,0.800000011920929,nan,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,-4.0,0.8999999761581421,nan,0.0,1.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,nan,0.0,1.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,-5.0,1.100000023841858,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,-5.0,1.2000000476837158,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,-5.0,1.2000000476837158,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,-5.0,1.2999999523162842,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,-5.0,1.2999999523162842,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,-5.0,1.2000000476837158,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,-5.0,1.2000000476837158,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,-5.0,1.100000023841858,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,-5.0,1.100000023841858,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,136.34275945945674,136.34275945945674,31.0,0.0,31.0,-4.0,1.0,nan,1.0,1.0,61.74811738234499,26.00531200360457,24.957920496487812,-6.017869871348864,1.0,177884.40157612268,136342.75945945675,136.34275945945674,136.34275945945674,136.34275945945674,0.0,136.34275945945674
57,164.34983309582552,164.34983309582552,35.0,0.0,35.0,-4.0,1.100000023841858,nan,1.0,1.0,49.98826857731048,29.331863615922714,28.150466394493048,-5.685875950499053,1.0,206432.09664219955,164349.8330958255,164.34983309582552,164.34983309582552,164.34983309582552,0.0,164.34983309582552
58,326.08283197161444,326.08283197161444,63.0,0.0,63.0,-4.0,1.100000023841858,nan,1.0,1.0,40.11710278412842,52.944582162906954,50.812266091123185,-4.846484271955944,1.0,371367.66271449614,326082.83197161445,326.08283197161444,326.08283197161444,326.08283197161444,0.0,326.08283197161444
59,1412.7056742599336,1412.7056742599336,186.0,51.0,165.0,-4.0,1.100000023841858,nan,1.0,1.0,33.901562715689145,213.45761134446738,207.36218981234038,0.7925596608776573,1.0,1483095.1233353533,1412705.6742599336,1412.7056742599336,1412.7056742599336,1412.7056742599336,0.0,1412.7056742599336
60,2376.7027040130765,2376.7027040130765,252.0,193.0,174.0,-4.0,1.100000023841858,nan,1.0,1.0,33.46453312728894,357.7523251468668,352.8153506055329,6.423163898570124,1.0,2474652.67613411,2376702.7040130766,2376.7027040130765,2376.7027040130765,2376.7027040130765,0.0,2376.7027040130765
61,4879.938519604693,4879.938519604693,379.0,809.0,86.0,-4.0,1.0,nan,1.0,1.0,39.00186910782062,757.0548051662007,757.0548051662007,19.97304966682003,1.0,5073241.952496494,4879938.519604693,4879.938519604693,4879.938519604693,4879.938519604693,0.0,4879.938519604693
62,3843.442617196438,3843.442617196438,274.0,725.0,73.0,-4.0,0.8999999761581421,nan,1.0,1.0,48.49877482898565,589.8824820836887,589.3800341139012,17.374283302374238,1.0,3993043.3158067563,3843442.617196438,3843.442617196438,3843.442617196438,3843.442617196438,0.0,3843.442617196438
63,737.6107245890723,737.6107245890723,78.0,110.0,61.0,-4.0,0.800000011920929,nan,1.0,1.0,60.07506988125812,116.64712758580427,112.78439716768348,1.332504396621573,1.0,791666.2364527482,737610.7245890723,737.6107245890723,737.6107245890723,737.6107245890723,0.0,737.6107245890723
64,0.0,0.0,0.0,0.0,0.0,-5.0,0.699999988079071,nan,1.0,1.0,72.41720634400362,0.0,0.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,-5.0,0.6000000238418579,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,-5.0,0.6000000238418579,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,-5.0,0.5,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,-5.0,0.5,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,-6.0,0.4000000059604645,nan,0.0,1.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,-6.0,0.4000000059604645,nan,0.0,1.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,-7.0,0.4000000059604645,nan,0.0,1.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,-7.0,0.4000000059604645,nan,0.0,1.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,-7.0,0.4000000059604645,nan,0.0,1.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
