Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
233,2311.839279391462,30.82
234,1970.662204634051,26.28
235,1880.4323011865413,25.07
236,860.5282626383389,11.47
237,2080.816500339471,27.74
238,2726.6862673290357,36.36
239,1314.8113911958217,17.53
240,1260.493863604414,16.81
241,659.0607912006615,8.79
242,0.0,0.0
243,31.922776870774666,0.43
244,0.0,0.0
245,305.2273162431321,4.07
246,3641.13642892245,48.55
247,5644.730944333465,75.26
248,6946.7916451756855,92.62
249,6674.384734803026,88.99
250,6362.862240187921,84.84
251,7292.300612123362,97.23
252,7278.590866173433,97.05
253,6923.936744910293,92.32
254,6090.271515428173,81.2
255,4980.6264254214275,66.41
256,4160.068155842274,55.47
257,4771.5692315850765,63.62
258,5584.171334400191,74.46
259,6529.59773677245,87.06
260,6144.590962705129,81.93
261,5704.498827966175,76.06
262,5462.12023384017,72.83
263,4669.640093957026,62.26
264,3269.601702924794,43.59
265,3062.967956162453,40.84
266,2536.2994492239686,33.82
267,1500.039177288751,20.0
268,1661.4324030886305,22.15
269,1842.7047656948846,24.57
270,1351.1541360531935,18.02
271,963.8644273138425,12.85
272,682.4222498824038,9.1
273,780.3485037764657,10.4
274,380.4230785981704,5.07
275,362.16338521090967,4.83
276,521.8227925787253,6.96
277,783.8348786923598,10.45
278,686.0556232471001,9.15
279,685.2445406938076,9.14
280,251.0323296932933,3.35
281,208.17305748672436,2.78
282,333.6911449820428,4.45
283,689.7126991258734,9.2
284,923.8329259064415,12.32
285,1024.7640826894476,13.66
286,203.7729182152352,2.72
287,22.99776389146123,0.31
288,13.511886562766364,0.18
289,36.61260991476944,0.49
290,16.71331626142586,0.22
291,31.830559685430117,0.42
292,1.9900527634606118,0.03
293,35.397920678154485,0.47
294,579.0898214965945,7.72
295,1571.6685380135964,20.96
296,2938.2108720051674,39.18
297,3610.5215166231205,48.14
298,3976.0280800004207,53.01
299,4723.901889610558,62.99
300,5956.443269478471,79.42
301,4802.767858117884,64.04
302,2886.8091318178213,38.49
303,2537.26495633541,33.83
304,1975.1718496228823,26.34
305,1972.6008475372516,26.3
306,2011.430780577235,26.82
307,1984.7453226424402,26.46
308,2157.586678664264,28.77
309,1755.526909982241,23.41
310,1312.4413349179697,17.5
311,1144.52112171706,15.26
312,851.700203644518,11.36
313,1377.9692458186346,18.37
314,917.6522034205975,12.24
315,834.8294260812075,11.13
316,1009.7201493460876,13.46
317,1400.9524183393512,18.68
318,2540.741653669482,33.88
319,2939.031198015282,39.19
320,2848.312797856211,37.98
321,5707.949045698582,76.11
322,7022.682254930476,93.64
323,6175.051759889764,82.33
324,7180.018575119271,95.73
325,7475.579385612637,99.67
326,7446.1038180991445,99.28
327,7389.9679204030035,98.53
328,7530.976375275769,100.41
329,7512.1259620656965,100.16
330,7552.339000228877,100.7
331,7482.973696150907,99.77
332,7502.302815441507,100.03
333,7579.528788438231,101.06
334,6879.853064000185,91.73
335,3958.304001502693,52.78
336,2930.1783610673792,39.07
337,2450.338767580753,32.67
338,1947.9984341636884,25.97
339,1915.983638765173,25.55
340,1561.3695348797073,20.82
341,2675.2802744801947,35.67
342,2420.986350433196,32.28
343,2143.544776305021,28.58
344,896.4920971234014,11.95
345,368.5866690900815,4.91
346,694.6942481733695,9.26
347,295.78007789631835,3.94
348,174.45711397022703,2.33
349,28.012362692181625,0.37
350,24.621084573885536,0.33
351,35.77837508324611,0.48
352,140.303269707318,1.87
353,326.43835694713954,4.35
354,532.4505826391338,7.1
355,714.616706547049,9.53
356,746.3557796783872,9.95
357,917.8055617686974,12.24
358,1563.5662975506878,20.85
359,755.1885727826398,10.07
360,584.5788721968304,7.79
361,308.51522975365185,4.11
362,118.23346185202618,1.58
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,25.61817246628801,0.34
369,350.61660881707854,4.67
370,2010.2271874602209,26.8
371,2155.811707526262,28.74
372,1733.71804621588,23.12
373,1545.6322008395225,20.61
374,993.7775915695089,13.25
375,659.7033270424688,8.8
376,420.81865810966787,5.61
377,361.23950123382843,4.82
378,324.4714847856429,4.33
379,166.15872223064744,2.22
380,39.02463725415321,0.52
381,147.98564474721604,1.97
382,79.84213547470192,1.06
383,126.2381862315067,1.68
384,871.1344418275268,11.62
385,888.3373444210636,11.84
386,1834.6179094746979,24.46
387,3467.902009330381,46.24
388,4681.886040470115,62.43
389,5858.0817133682895,78.11
390,7075.685733806353,94.34
391,7457.0545908979075,99.43
392,7313.69799118782,97.52
393,6933.3315239168805,92.44
394,7283.538526772222,97.11
395,6713.5053667025395,89.51
396,6729.140000277365,89.72
397,7535.636509510989,100.48
398,5249.125580348909,69.99
399,7476.403958163983,99.69
400,7338.505108651343,97.85
401,4811.238989744887,64.15
402,7187.089029904472,95.83
403,7144.5225918987,95.26
404,5297.561452225773,70.63
405,1598.525735138691,21.31
406,1837.8222179544969,24.5
407,2531.9545634616084,33.76
408,4182.350956026778,55.76
409,2544.546596318698,33.93
410,2827.575336111713,37.7
411,1439.702590505395,19.2
412,2245.9281500138686,29.95
413,2576.3697956948827,34.35
414,1338.1287463655465,17.84
415,1442.8455070267046,19.24
416,1344.1222217960008,17.92
417,1355.4975444613383,18.07
418,862.9963167052821,11.51
419,1709.613245232177,22.79
420,1276.6121542005344,17.02
421,379.3766578328548,5.06
422,568.2325140773273,7.58
423,2056.210927757837,27.42
424,2488.4377461819367,33.18
425,2288.910692099378,30.52
426,2187.149361651178,29.16
427,2037.4960762905014,27.17
428,1282.4429236551139,17.1
429,642.60183543716,8.57
430,1443.4988918062031,19.25
431,1571.3829649097477,20.95
432,854.7293398247771,11.4
433,596.0545151502514,7.95
434,484.85082455758055,6.46
435,879.9772572333866,11.73
436,1053.60213260382,14.05
437,1848.112144913417,24.64
438,1918.6730232010786,25.58
439,773.5524306043518,10.31
440,795.4800859387435,10.61
441,2086.471164930916,27.82
442,3884.3769371921553,51.79
443,2761.004967188524,36.81
444,4132.109126581153,55.09
445,5059.748894720134,67.46
446,4260.02986201792,56.8
447,2285.278377566567,30.47
448,3498.7967719502412,46.65
449,1574.6923250770371,21.0
450,1046.3231705712426,13.95
451,2025.5427854489703,27.01
452,2687.352419752198,35.83
453,835.4558453313467,11.14
454,3082.0659998491947,41.09
455,2710.834457740223,36.14
456,6314.922955310194,84.2
457,1468.886286149739,19.59
458,5012.096901446194,66.83
459,5047.934607463185,67.31
460,6265.8239908934,83.54
461,6179.860965479172,82.4
462,6590.744931093512,87.88
463,6425.8424958544165,85.68
464,2486.9765431656056,33.16
465,5044.431119314107,67.26
466,7358.560150899222,98.11
467,7371.902282117268,98.29
468,7390.694631787882,98.54
469,7412.267392460335,98.83
470,7443.244781235476,99.24
471,7483.868937626242,99.78
472,7505.990696304294,100.08
473,7535.333467166714,100.47
474,7554.38634631467,100.73
475,7596.797515278319,101.29
476,7631.481039715146,101.75
477,7601.493171794559,101.35
478,7700.866054147713,102.68
479,7722.754428782114,102.97
480,7753.4931647742005,103.38
481,7781.960006438782,103.76
482,7805.618309456583,104.07
483,7831.564875936754,104.42
484,5965.801213950132,79.54
485,3622.8298362265214,48.3
486,6344.763925523152,84.6
487,5449.527744255173,72.66
488,3438.6189963476436,45.85
489,2233.270040332757,29.78
490,2246.3174488869986,29.95
491,1788.5761065285872,23.85
492,313.46751232767775,4.18
493,16.199449546638736,0.22
494,0.0,0.0
495,0.0,0.0
496,32.80589308020056,0.44
497,24.698179267162978,0.33
498,460.12360250445425,6.13
499,11.254697019248587,0.15
500,0.0,0.0
501,0.0,0.0
502,0.0,0.0
503,0.41709437229154456,0.01
504,7.5056218378673,0.1
505,27.899200222934322,0.37
506,434.33821867081895,5.79
507,820.9831956974273,10.95
508,4846.318855838757,64.62
509,5448.844495475359,72.65
510,4850.379435595307,64.67
511,20.6735604505784,0.28
512,64.72476383573698,0.86
513,928.2128421350518,12.38
514,2122.6046275582944,28.3
515,5896.4878554105,78.62
516,5994.19667084952,79.92
517,7785.371426539306,103.8
518,7783.880843966951,103.79
519,7719.286773991505,102.92
520,7760.02314414469,103.47
521,7658.66570436937,102.12
522,7879.195266498515,105.06
523,7900.1705235813615,105.34
524,7904.1496927212065,105.39
525,7746.654870109207,103.29
526,7016.992174424697,93.56
527,7967.188895372458,106.23
528,7984.6215057505715,106.46
529,7112.755503812756,94.84
530,6373.080651999522,84.97
531,6822.014953668374,90.96
532,3178.1566011244972,42.38
533,3338.039565043043,44.51
534,1669.037571037094,22.25
535,2351.426972617531,31.35
536,2046.920313529031,27.29
537,2592.6501242466534,34.57
538,3526.1177076256977,47.01
539,2912.399576957414,38.83
540,2965.1758365309524,39.54
541,1752.9983023847456,23.37
542,1938.4527916744778,25.85
543,2295.1659574672153,30.6
544,3356.0232911591816,44.75
545,4694.173744081352,62.59
546,6931.3696639652735,92.42
547,5564.309237795575,74.19
548,5118.046491112109,68.24
549,4451.530786216556,59.35
550,5028.868380853012,67.05
551,3612.3692459894437,48.16
552,2320.8960255522284,30.95
553,1051.8780180364279,14.03
554,1051.8515307737352,14.02
555,733.4892678560825,9.78
556,977.3685129004577,13.03
557,1554.9689040271269,20.73
558,2804.9722230738594,37.4
559,2632.9435049203767,35.11
560,587.0049458878541,7.83
561,1176.2552964211386,15.68
562,1892.6638017245516,25.24
563,1615.7648763690065,21.54
564,1930.806453945215,25.74
565,1679.2319461487136,22.39
566,2712.8767824688716,36.17
567,4018.315886605408,53.58
568,7288.533755710172,97.18
569,6857.406530716543,91.43
570,7973.441059520397,106.31
571,8042.658829684636,107.24
572,8014.832825231863,106.86
573,7988.120501223097,106.51
574,7759.70420010929,103.46
575,7967.265159639447,106.23
576,7947.433432867986,105.97
577,8112.5770744553,108.17
578,8145.463200172154,108.61
579,8172.878165609759,108.97
580,8196.596483355619,109.29
581,8065.934238269369,107.55
582,7907.4431613158,105.43
583,6713.746073862974,89.52
584,5178.886156136283,69.05
585,3678.7174709363712,49.05
586,1095.1260212894056,14.6
587,551.7215148188104,7.36
588,563.7029796764633,7.52
589,28.75525681981394,0.38
590,28.180687322670824,0.38
591,0.0,0.0
592,0.0,0.0
593,8.6497380075133,0.12
594,17.21763399922574,0.23
595,9.009119174379334,0.12
596,0.0,0.0
597,20.95055064050015,0.28
598,11.52353823971792,0.15
599,0.0,0.0
600,0.0,0.0
601,0.0,0.0
602,0.0,0.0
603,0.0,0.0
604,0.0,0.0
605,28.1459917318204,0.38
606,260.61392049782734,3.47
607,403.71833506998126,5.38
608,887.1166139199889,11.83
609,1512.5931701699997,20.17
610,1741.8319863332886,23.22
611,2210.226966747444,29.47
612,2263.829836444714,30.18
613,1437.7528307607465,19.17
614,684.7299415576194,9.13
615,1221.8572891361414,16.29
616,2288.5649058955614,30.51
617,2920.154259861097,38.94
618,4027.722772319114,53.7
619,5246.465976115686,69.95
620,5354.763785473167,71.4
621,7033.54800610073,93.78
622,6247.733222886228,83.3
623,3554.182162240503,47.39
624,3726.2236303559966,49.68
625,2353.6662012881748,31.38
626,1474.9815937710039,19.67
627,973.7768980371168,12.98
628,804.3114475803661,10.72
629,528.7405236444915,7.05
630,1052.8457504230455,14.04
631,1487.087499779885,19.83
632,1240.0364389944966,16.53
633,1447.3343666768187,19.3
634,3709.951963554202,49.47
635,3245.5614417630595,43.27
636,3079.709058710634,41.06
637,2894.658116729369,38.6
638,2701.2101205032327,36.02
639,2555.3316198429475,34.07
640,2273.7193184760204,30.32
641,1894.9542437173768,25.27
642,1594.9264008292023,21.27
643,1554.155474769631,20.72
644,1315.5344934523084,17.54
645,1701.8207419803173,22.69
646,2397.1501221114286,31.96
647,1821.9071149706938,24.29
648,137.08795037923852,1.83
649,317.5412231004308,4.23
650,27.300034190457577,0.36
651,0.0,0.0
652,0.0,0.0
653,0.0,0.0
654,8.90716234349411,0.12
655,31.31373480677135,0.42
656,172.575125748512,2.3
657,889.6061345159679,11.86
658,2035.3349758250708,27.14
659,2928.2712828286503,39.04
660,3503.2138223396387,46.71
661,4225.444467378185,56.34
662,3574.1290293165534,47.66
663,4170.953411766362,55.61
664,4277.835273587682,57.04
665,3355.0153435800617,44.73
666,3091.696625338393,41.22
667,3243.823410867656,43.25
668,3733.368225203684,49.78
669,3510.519403357596,46.81
670,2760.444125255344,36.81
671,1613.2562220864295,21.51
672,927.7361486013648,12.37
673,461.5705686491064,6.15
674,133.82333807269433,1.78
675,19.48777961696459,0.26
676,0.0,0.0
677,0.0,0.0
678,0.0,0.0
679,0.0,0.0
680,0.0,0.0
681,0.0,0.0
682,0.0,0.0
683,0.0,0.0
684,0.0,0.0
685,29.487095359876005,0.39
686,102.24364018104,1.36
687,131.20059212500985,1.75
688,575.3907884725878,7.67
689,1460.640104757058,19.48
690,2295.122088387214,30.6
691,3747.9181729343204,49.97
692,5472.658123499059,72.97
693,6936.1036709973305,92.48
694,6332.089153830864,84.43
695,5058.271490630709,67.44
696,3792.2344390219837,50.56
697,3092.1800427861567,41.23
698,2996.9088332930187,39.96
699,3361.6949146794514,44.82
700,3252.5181048278546,43.37
701,2736.7878792320857,36.49
702,2185.248878891278,29.14
703,3710.477505604726,49.47
704,4352.699427589998,58.04
705,3476.99748236046,46.36
706,3965.4266095825406,52.87
707,4469.192271482326,59.59
708,3690.814718977555,49.21
709,2582.7961022856066,34.44
710,2742.2314813422345,36.56
711,1728.0759502347607,23.04
712,2120.9107510363747,28.28
713,5391.974176857697,71.89
714,6847.6525831067265,91.3
715,2037.8716131203223,27.17
716,7045.638316105019,93.94
717,6965.310353606029,92.87
718,2457.7355120848333,32.77
719,3986.7098875608567,53.16
720,6353.1640008938575,84.71
721,4307.277501802387,57.43
722,1374.9491668073972,18.33
723,6004.567624537135,80.06
724,1698.945602205776,22.65
725,7055.195356962195,94.07
726,7074.08112426941,94.32
727,4185.012472885792,55.8
728,5734.107580341119,76.45
729,6477.651760899591,86.37
730,7177.0691308887135,95.69
731,7231.488733754862,96.42
732,7293.75699546879,97.25
733,7346.368105043508,97.95
734,7360.436426465651,98.14
735,7386.125218743429,98.48
