Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Storage Capacity,0.0,kWh
Total water production,18250000.00000112,m3
Total fossil fuel usage,36158423.31345457,kWh
Percentage of fossil fuel consumption,52.4023334320039,%
Curtailed solar electric energy,1.3230827389926687,GWh
Percentage of curtailed energy,3.872488890806738,%

Hour,Water production (m3),Storage status (kWh),Fossil fuel usage (kWh)
0,2083.3333333333335,0,908.7636373019468
1,2083.3333333333335,0,2137.037698482043
2,2083.3333333333335,0,1859.0804421661487
3,2083.3333333333335,0,1400.935102594267
4,2083.3333333333335,0,358.0879994319739
5,2083.3333333333335,0,353.728624372342
6,2083.3333333333335,0,337.9550617491277
7,2083.3333333333335,0,323.9916039512036
8,2083.3333333333335,0,33.83577592242818
9,2083.3333333333335,0.0,0
10,2083.3333333333335,0.0,0
11,2083.3333333333335,0.0,0
12,2083.3333333333335,0,406.6364942259179
13,2083.3333333333335,0,1634.880443747329
14,2083.3333333333335,0,3089.0670822777893
15,2083.3333333333335,0,2507.2342745988844
16,2083.3333333333335,0,1683.4389255807482
17,2083.3333333333335,0,3504.5872629589803
18,2083.3333333333335,0,554.9354810786863
19,2083.3333333333335,0,321.54092488552124
20,2083.3333333333335,0,713.1919822181344
21,2083.3333333333335,0,662.8627341300835
22,2083.3333333333335,0,680.5082108852421
23,2083.3333333333335,0,667.214416370487
24,2083.3333333333335,0,873.2700093187104
25,2083.3333333333335,0,1661.7629343890521
26,2083.3333333333335,0,1646.7462026608655
27,2083.3333333333335,0,1654.8888330669943
28,2083.3333333333335,0,2356.532093599142
29,2083.3333333333335,0,3552.3607567427443
30,2083.333333333334,0,4933.72093984775
31,2083.333333333333,0,4519.622917131401
32,2083.3333333333335,0,3985.8787347458915
33,2083.3333333333335,0,3215.628398716377
34,2083.3333333333335,0,4612.653158506815
35,2083.3333333333335,0,952.2529348511571
36,2083.3333333333335,0.0,0
37,2083.3333333333335,0.0,0
38,2083.3333333333335,0.0,0
39,2083.3333333333335,0,1103.78110691016
40,2083.3333333333335,0,1391.4009372278742
41,2083.3333333333335,0,1606.7726231903043
42,2083.3333333333335,0,905.5048638775115
43,2083.3333333333335,0,3547.2689210720973
44,2083.3333333333335,0,3339.2796450066535
45,2083.3333333333335,0,2285.8428748880497
46,2083.3333333333335,0,1678.611413877733
47,2083.3333333333335,0,3070.383078299099
48,2083.333333333334,0,5636.401453263115
49,2083.3333333333335,0,6607.646749249398
50,2083.3333333333335,0,6520.62678702683
51,2083.3333333333335,0,6288.492238245879
52,2083.3333333333335,0,5383.584663380169
53,2083.333333333334,0,6727.675602893038
54,2083.3333333333335,0,6820.601974008522
55,2083.3333333333335,0,6772.273878827384
56,2083.3333333333335,0,6709.573221814603
57,2083.3333333333335,0,7172.17238489814
58,2083.3333333333335,0,7075.777929121371
59,2083.3333333333335,0,5878.369581938541
60,2083.3333333333335,0,5286.5192292096735
61,2083.3333333333335,0,2606.173859045125
62,2083.3333333333335,0,4024.8868719029947
63,2083.3333333333335,0,7139.278764664953
