Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
88,3031.44850256998,101.05
89,3012.4778230660245,100.42
90,2966.542641910045,98.88
91,2618.8299311242195,87.29
92,2744.0955687356236,91.47
93,2600.4540431415926,86.68
94,2973.5034961818574,99.12
95,3039.3319393873526,101.31
96,3047.300219159536,101.58
97,3050.0312883887286,101.67
98,3052.2877149275837,101.74
99,3050.9892449750414,101.7
100,3053.358246934774,101.78
101,3055.1376161692447,101.84
102,3055.6706875684417,101.86
103,3034.108094621385,101.14
104,3067.7849617361494,102.26
105,3068.4522599299694,102.28
106,3068.7602363435067,102.29
107,2930.7754501473955,97.69
108,2045.4148272075383,68.18
109,1105.8655095668319,36.86
110,498.9902142370618,16.63
111,731.4461431325473,24.38
112,743.8242481019925,24.79
113,663.1227900543133,22.1
114,708.547452829632,23.62
115,1006.226362599697,33.54
116,2088.1218565416425,69.6
117,1821.3200995093437,60.71
118,551.5545977536102,18.39
119,0.0,0.0
120,15.143900192861551,0.5
121,161.659032083882,5.39
122,268.99108192964025,8.97
123,14.581586617598024,0.49
124,144.84097042979457,4.83
125,210.10386257660628,7.0
126,167.08922902153037,5.57
127,156.66041179082825,5.22
128,558.5963815176633,18.62
129,963.8741395117202,32.13
130,2018.3730599477556,67.28
131,1508.3108315781387,50.28
132,1278.4562576178503,42.62
133,1434.1782870585805,47.81
134,1176.0592592181981,39.2
135,996.2588332793988,33.21
136,878.5681982287396,29.29
137,807.410283864031,26.91
138,2306.3187410429136,76.88
139,1389.00787587435,46.3
140,1022.5375760024513,34.08
141,651.7933769400474,21.73
142,1137.070738060414,37.9
143,1113.4389802881542,37.11
144,2874.6667923565337,95.82
145,2931.6815226039266,97.72
146,2565.8830032027017,85.53
147,2619.916997610686,87.33
148,1851.339936592415,61.71
149,1690.7240613204106,56.36
150,1873.9333037073116,62.46
151,1506.890482793342,50.23
152,1632.2225606320092,54.41
153,1978.0328507590207,65.93
154,1900.9489983610883,63.36
155,2384.6384670604343,79.49
156,2035.8362915120101,67.86
157,1255.927318697167,41.86
158,230.04657813599522,7.67
159,125.23764835726973,4.17
160,358.62996545096837,11.95
161,250.76189650725112,8.36
162,204.78876270009914,6.83
163,131.57758010155376,4.39
164,41.74253737260287,1.39
165,71.02079645402026,2.37
166,10.989364313016889,0.37
167,6.328153201915098,0.21
168,35.67990140270259,1.19
169,56.18026898962609,1.87
170,185.4751195000751,6.18
171,797.360733822319,26.58
172,1109.5828926096901,36.99
173,406.5871163842447,13.55
174,175.03511498163093,5.83
175,476.8811804740095,15.9
176,1023.4201141958907,34.11
177,2388.934049021438,79.63
178,2766.902632038012,92.23
179,2244.4185876174884,74.81
180,2426.6652008708015,80.89
181,2200.6299015935497,73.35
182,1120.243209500999,37.34
183,28.049154233913676,0.93
184,29.417816489440483,0.98
185,542.013623777937,18.07
186,422.48743604016295,14.08
187,380.91130074063716,12.7
188,456.5720047321682,15.22
189,669.3525166222622,22.31
190,474.8982537092902,15.83
191,389.3570309980295,12.98
192,13.131722210189599,0.44
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,1.6374954375675432,0.05
198,10.655824820214942,0.36
199,43.91583518320862,1.46
200,84.50497925206803,2.82
201,173.69715486094933,5.79
202,358.3379828511108,11.94
203,502.1370583482209,16.74
204,625.5963061848465,20.85
205,762.1703775761358,25.41
206,616.983232369481,20.57
207,399.6197737086802,13.32
208,130.45204081869556,4.35
209,175.3734068925602,5.85
210,484.392879535068,16.15
211,2654.7798779648997,88.49
212,2941.27869061528,98.04
213,2958.370144110276,98.61
214,2971.70051160847,99.06
215,2974.5747841162183,99.15
216,2995.3852496993363,99.85
217,3010.2406699178027,100.34
218,3016.4207989043057,100.55
219,3020.8113734154294,100.69
220,3028.054970581172,100.94
221,3034.5154598772724,101.15
222,3041.5953104929285,101.39
223,3050.127916004145,101.67
224,3058.7146189693335,101.96
225,3064.999624414358,102.17
226,3055.959840511081,101.87
227,3074.6794110593387,102.49
228,2987.136018591409,99.57
229,3082.7196003165163,102.76
230,3023.2082730905095,100.77
231,2458.702107878253,81.96
232,1435.4118382806912,47.85
233,924.7357117565847,30.82
234,788.2648818536204,26.28
235,752.1729204746165,25.07
236,344.2113050553356,11.47
237,832.3266001357886,27.74
238,1090.6745069316144,36.36
239,525.9245564783287,17.53
240,504.19754544176556,16.81
241,263.6243164802646,8.79
242,0.0,0.0
243,12.769110748309865,0.43
244,0.0,0.0
245,122.09092649725285,4.07
246,1456.4545715689799,48.55
247,2257.892377733386,75.26
248,2778.7166580702738,92.62
249,2669.7538939212104,88.99
250,2545.1448960751686,84.84
251,2916.9202448493447,97.23
252,2911.4363464693733,97.05
253,2769.5746979641167,92.32
254,2436.1086061712695,81.2
255,1992.2505701685711,66.41
256,1664.0272623369096,55.47
257,1908.6276926340308,63.62
258,2233.668533760077,74.46
259,2611.83909470898,87.06
260,2457.8363850820515,81.93
261,2281.7995311864697,76.06
262,2184.8480935360676,72.83
263,1867.8560375828104,62.26
264,1307.8406811699176,43.59
265,1225.1871824649813,40.84
266,1014.5197796895873,33.82
267,600.0156709155004,20.0
268,664.5729612354521,22.15
269,737.0819062779539,24.57
270,540.4616544212773,18.02
271,385.545770925537,12.85
272,272.96889995296146,9.1
273,312.13940151058625,10.4
274,152.16923143926815,5.07
275,144.86535408436387,4.83
276,208.72911703149012,6.96
277,313.53395147694386,10.45
278,274.4222492988401,9.15
279,274.0978162775231,9.14
280,100.41293187731733,3.35
281,83.26922299468976,2.78
282,133.47645799281713,4.45
283,275.8850796503493,9.2
284,369.5331703625766,12.32
285,409.905633075779,13.66
286,81.50916728609407,2.72
287,9.199105556584492,0.31
288,5.404754625106547,0.18
289,14.645043965907782,0.49
290,6.685326504570344,0.22
291,12.732223874172048,0.42
292,0.7960211053842448,0.03
293,14.159168271261795,0.47
294,231.63592859863775,7.72
295,628.6674152054386,20.96
296,1175.284348802067,39.18
297,1444.2086066492484,48.14
298,1590.4112320001684,53.01
299,1889.5607558442232,62.99
300,2382.577307791388,79.42
301,1921.1071432471535,64.04
302,1154.7236527271284,38.49
303,1014.9059825341639,33.83
304,790.0687398491528,26.34
305,789.0403390149007,26.3
306,804.572312230894,26.82
307,793.898129056976,26.46
308,863.0346714657059,28.77
309,702.2107639928963,23.41
310,524.9765339671878,17.5
311,457.80844868682397,15.26
312,340.6800814578072,11.36
313,551.1876983274537,18.37
314,367.060881368239,12.24
315,333.931770432483,11.13
316,403.88805973843495,13.46
317,560.3809673357405,18.68
318,1016.2966614677925,33.88
319,1175.612479206113,39.19
320,1139.3251191424845,37.98
321,2283.1796182794333,76.11
322,2809.0729019721903,93.64
323,2470.0207039559064,82.33
324,2872.007430047708,95.73
325,2990.231754245055,99.67
326,2978.4415272396577,99.28
327,2955.987168161201,98.53
328,3012.3905501103077,100.41
329,3004.850384826279,100.16
330,3020.935600091551,100.7
331,2993.1894784603633,99.77
332,3000.921126176603,100.03
333,3031.811515375292,101.06
334,2751.9412256000737,91.73
335,1583.321600601077,52.78
336,1172.0713444269518,39.07
337,980.1355070323013,32.67
338,779.1993736654754,25.97
339,766.3934555060692,25.55
340,624.547813951883,20.82
341,1070.1121097920777,35.67
342,968.3945401732786,32.28
343,857.4179105220084,28.58
344,358.59683884936055,11.95
345,147.4346676360326,4.91
346,277.8776992693478,9.26
347,118.31203115852735,3.94
348,69.78284558809081,2.33
349,11.20494507687265,0.37
350,9.848433829554214,0.33
351,14.311350033298444,0.48
352,56.1213078829272,1.87
353,130.57534277885583,4.35
