Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Desal Annualized CAPEX,0.38713494626700934,$/m3
Desal OPEX,0.49472946849545374,$/m3
Levelized cost of water,0.881864414762463,$/m3
Levelized cost of electricity (from fossile fuel),0.05,$/m3
Levelized cost of electricity (from solar field),0.09174688310614523,$/m3
Levelized cost of electricity (from wind field),3.606070995164547e-05,$/m3
Energy cost,0.2126894960936759,$/m3
