Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Storage Capacity,0.0,kWh
Total water production,18250000.00000112,m3
Total fossil fuel usage,45712265.20524288,kWh
Percentage of fossil fuel consumption,66.24816968515293,%
Curtailed solar electric energy,1.060388805760514,GWh
Percentage of curtailed energy,4.35483751975072,%

Hour,Water production (m3),Storage status (kWh),Fossil fuel usage (kWh)
0,2083.3333333333335,0,5089.639148473194
1,2083.333333333333,0,5580.948772945232
2,2083.3333333333335,0,5469.765870418875
3,2083.3333333333335,0,5286.507734590122
4,2083.333333333334,0,4869.368893325205
5,2083.3333333333335,0,4867.625143301352
6,2083.3333333333335,0,4861.315718252066
7,2083.3333333333335,0,4855.7303351328965
8,2083.3333333333335,0,4418.636871035652
9,2083.3333333333335,0,1088.9766665867219
10,2083.3333333333335,0,1749.2481027797994
11,2083.3333333333335,0.0,0
12,2083.3333333333335,0,1468.5873749754583
13,2083.3333333333335,0,3445.240626952609
14,2083.3333333333335,0,5488.463599804362
15,2083.333333333334,0,5473.481521156786
16,2083.333333333334,0,5399.509263784716
17,2083.3333333333335,0,6127.968598736007
18,2083.333333333333,0,4948.107885983889
19,2083.3333333333335,0,4854.750063506624
20,2083.333333333333,0,5011.410486439669
21,2083.333333333333,0,4991.278787204448
22,2083.3333333333335,0,4998.336977906512
23,2083.333333333333,0,4993.01946010061
24,2083.3333333333335,0,5075.441697279899
25,2083.333333333334,0,5390.838867308037
26,2083.3333333333335,0,5384.832174616761
27,2083.3333333333335,0,5388.089226779213
28,2083.333333333333,0,5668.746530992072
29,2083.3333333333335,0,6147.077996249513
30,2083.333333333334,0,6699.6220694915155
31,2083.3333333333335,0,6533.982860404976
32,2083.3333333333335,0,4484.903136603564
33,2083.333333333333,0,5466.144686807318
34,2083.333333333334,0,6152.009447762433
35,2083.333333333334,0,4934.321095254792
36,2083.3333333333335,0,1277.3860176585486
37,2083.3333333333335,0,1810.3978924365192
38,2083.3333333333335,0,2490.865998316215
39,2083.333333333334,0,4991.611708383049
40,2083.3333333333335,0,5282.694068443565
41,2083.3333333333335,0,5368.842742828538
42,2083.333333333333,0,5088.335639103419
43,2083.3333333333335,0,6145.041261981254
44,2083.3333333333335,0,6061.845551555077
45,2083.333333333334,0,5640.470843507635
46,2083.3333333333335,0,5397.578259103509
47,2083.3333333333335,0,5954.286924872054
48,2083.3333333333335,0,6980.694274857661
49,2083.3333333333335,0,7369.192393252175
50,2083.3333333333335,0,7334.3844083631475
51,2083.333333333333,0,7241.530588850766
52,2083.3333333333335,0,6879.567558904483
53,2083.3333333333335,0,7417.203934709631
54,2083.3333333333335,0,7454.374483155824
55,2083.3333333333335,0,7435.043245083369
56,2083.3333333333335,0,7246.37505015003
57,2083.3333333333335,0,7397.809974557306
58,2083.333333333333,0,7165.1939254805475
59,2083.333333333334,0,5382.370835834836
60,2083.3333333333335,0,3988.8754541580843
61,2083.3333333333335,0.0,0
62,2083.3333333333335,0,1724.1393365590238
63,2083.333333333334,0,6696.769572814577
64,2083.3333333333335,0,7867.58839401894
65,2083.3333333333335,0,7862.426805577287
66,2083.3333333333335,0,7829.223311461807
67,2083.3333333333335,0,7864.0548771407375
68,2083.3333333333335,0,7870.063547788896
69,2083.3333333333335,0,7865.567562309546
70,2083.3333333333335,0,7711.125077169012
71,2083.3333333333335,0,7723.97222896893
72,2083.3333333333335,0,7572.407611476218
73,2083.3333333333335,0,7469.192951970732
74,2083.3333333333335,0,7167.546407958635
75,2083.333333333334,0,6223.809574528921
76,2083.3333333333335,0,4877.626886503353
77,2083.3333333333335,0,4859.088503791497
78,2083.3333333333335,0,4846.205319266181
79,2083.3333333333335,0,4815.097382549381
80,2083.3333333333335,0,4591.37615976412
81,2083.333333333334,0,4660.967466311675
82,2083.333333333334,0,4155.064968089768
83,2083.3333333333335,0,2804.9664456182118
84,2083.3333333333335,0.0,0
85,2083.3333333333335,0,3765.7386738325313
86,2083.3333333333335,0,2847.390434349484
87,2083.3333333333335,0,3794.8256892037653
88,2083.333333333333,0,4845.440986684045
89,2083.333333333334,0,4864.411666188002
90,2083.3333333333335,0,4910.346847343981
91,2083.333333333333,0,5258.059558129806
