Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Storage Capacity,0.0,kWh
Total water production,18250000.00000112,m3
Total fossil fuel usage,32505576.49705446,kWh
Percentage of fossil fuel consumption,47.10847160651314,%
Curtailed solar electric energy,7.486674150532394,GWh
Percentage of curtailed energy,17.021880723730064,%

Hour,Water production (m3),Storage status (kWh),Fossil fuel usage (kWh)
133,2083.3333333333335,0,1334.1268183628026
134,2083.3333333333335,0,1697.8615330900857
135,2083.3333333333335,0,3166.1373896394334
136,2083.333333333334,0,4362.616696339068
137,2083.3333333333335,0,4647.2483537979015
138,2083.3333333333335,0.0,0
139,2083.3333333333335,0,2320.8579857566256
140,2083.3333333333335,0,3786.7391852442206
141,2083.3333333333335,0,5269.715981493836
142,2083.3333333333335,0,3328.6065370123697
143,2083.3333333333335,0,3423.133568101409
144,2083.3333333333335,0.0,0
145,2083.3333333333335,0.0,0
146,2083.3333333333335,0.0,0
147,2083.3333333333335,0.0,0
148,2083.3333333333335,0,471.529742884366
149,2083.3333333333335,0,1113.9932439723834
150,2083.3333333333335,0,381.15627442477944
151,2083.3333333333335,0,1849.3275580806576
152,2083.3333333333335,0,1329.2767631283523
153,2083.3333333333335,0.0,0
154,2083.3333333333335,0.0,0
155,2083.3333333333335,0.0,0
156,2083.3333333333335,0.0,0
157,2083.3333333333335,0,2354.941659944384
158,2083.3333333333335,0,6528.168467736124
159,2083.3333333333335,0,7329.453914209309
160,2083.333333333334,0,6442.369627450153
161,2083.3333333333335,0,6873.841903225021
162,2083.3333333333335,0,7057.734438453629
163,2083.3333333333335,0,7350.57916884781
164,2083.3333333333335,0,7709.9193397636145
165,2083.3333333333335,0,7592.806303437945
166,2083.3333333333335,0,7832.932032001958
167,2083.3333333333335,0,7851.5768764463655
168,2083.3333333333335,0,7734.169883643215
169,2083.3333333333335,0,7652.1684132955215
170,2083.3333333333335,0,7134.989011253725
171,2083.333333333334,0,4687.44655396475
172,2083.3333333333335,0,3438.557918815265
173,2083.333333333334,0,6250.541023717047
174,2083.3333333333335,0,7176.749029327502
175,2083.333333333333,0,5969.364767357987
176,2083.3333333333335,0,3578.74275741966
177,2083.3333333333335,0.0,0
178,2083.3333333333335,0.0,0
179,2083.3333333333335,0.0,0
180,2083.3333333333335,0.0,0
181,2083.3333333333335,0.0,0
182,2083.3333333333335,0,2764.6585353018463
183,2083.333333333333,0,7280.843370302264
184,2083.3333333333335,0,7759.218223296264
185,2083.3333333333335,0,5708.8349941422775
186,2083.3333333333335,0,6186.939745093374
187,2083.3333333333335,0,6353.244286291477
188,2083.3333333333335,0,6050.601470325353
189,2083.333333333333,0,5199.479422764976
190,2083.3333333333335,0,5977.296474416865
191,2083.333333333334,0,6319.461365261908
192,2083.3333333333335,0,7824.3626004132675
193,2083.3333333333335,0,7876.889489254026
194,2083.3333333333335,0,7876.889489254026
195,2083.3333333333335,0,7876.889489254026
196,2083.3333333333335,0,7876.889489254026
197,2083.3333333333335,0,7870.339507503755
198,2083.3333333333335,0,7834.266189973166
199,2083.3333333333335,0,7701.226148521191
200,2083.3333333333335,0,7375.4190710070825
201,2083.333333333333,0,6219.425262605986
202,2083.3333333333335,0,6116.252075790493
203,2083.333333333333,0,5365.829936566715
204,2083.333333333333,0,4800.133094932697
205,2083.333333333333,0,4431.6291598051175
206,2083.3333333333335,0,5109.009800793554
207,2083.3333333333335,0,6146.044663994118
208,2083.3333333333335,0,7355.081325979243
209,2083.3333333333335,0,7175.3958616837845
210,2083.3333333333335,0,5939.317971113754
211,2083.3333333333335,0.0,0
212,2083.3333333333335,0.0,0
213,2083.3333333333335,0.0,0
214,2083.3333333333335,0.0,0
215,2083.3333333333335,0.0,0
216,2083.3333333333335,0.0,0
217,2083.3333333333335,0.0,0
218,2083.3333333333335,0.0,0
219,2083.3333333333335,0.0,0
220,2083.3333333333335,0.0,0
221,2083.3333333333335,0.0,0
222,2083.3333333333335,0.0,0
223,2083.3333333333335,0.0,0
224,2083.3333333333335,0.0,0
225,2083.3333333333335,0.0,0
226,2083.3333333333335,0.0,0
227,2083.3333333333335,0.0,0
228,2083.3333333333335,0.0,0
229,2083.3333333333335,0.0,0
230,2083.3333333333335,0.0,0
231,2083.3333333333335,0.0,0
232,2083.3333333333335,0,2135.242136131261
233,2083.333333333334,0,4177.946642227687
234,2083.3333333333335,0,4723.829961839544
235,2083.333333333334,0,4868.19780735556
236,2083.3333333333335,0,6500.044269032684
237,2083.3333333333335,0,4547.583088710871
238,2083.3333333333335,0,3514.191461527568
239,2083.3333333333335,0,5773.191263340711
240,2083.333333333334,0,5860.099307486964
241,2083.333333333333,0,6822.392223332967
242,2083.3333333333335,0,7876.889489254026
243,2083.3333333333335,0,7825.813046260786
244,2083.3333333333335,0,7876.889489254026
245,2083.3333333333335,0,7388.525783265014
246,2083.3333333333335,0,2051.071202978106
247,2083.3333333333335,0.0,0
248,2083.3333333333335,0.0,0
249,2083.3333333333335,0.0,0
250,2083.3333333333335,0.0,0
251,2083.3333333333335,0.0,0
252,2083.3333333333335,0.0,0
253,2083.3333333333335,0.0,0
254,2083.3333333333335,0.0,0
255,2083.3333333333335,0.0,0
256,2083.3333333333335,0,1220.780439906387
257,2083.3333333333335,0,242.3787187179023
258,2083.3333333333335,0.0,0
259,2083.3333333333335,0.0,0
260,2083.3333333333335,0.0,0
261,2083.3333333333335,0.0,0
262,2083.3333333333335,0.0,0
263,2083.3333333333335,0,405.4653389227842
264,2083.3333333333335,0,2645.526764574355
265,2083.3333333333335,0,2976.1407593941003
266,2083.3333333333335,0,3818.8103704956766
267,2083.333333333333,0,5476.826805592023
268,2083.3333333333335,0,5218.597644312217
269,2083.333333333333,0,4928.56186414221
270,2083.333333333333,0,5715.042871568916
271,2083.3333333333335,0,6334.706405551878
272,2083.3333333333335,0,6632.99320454496
273,2083.3333333333335,0,6254.332070788002
274,2083.3333333333335,0,6726.502280304336
275,2083.333333333333,0,6698.023471883589
276,2083.3333333333335,0,6222.093222670583
277,2083.333333333333,0,6233.911013935571
278,2083.333333333334,0,6529.121924060988
279,2083.3333333333335,0,6579.2228431619815
280,2083.3333333333335,0,7475.237761744756
281,2083.3333333333335,0,7543.812597275267
282,2083.3333333333335,0,7342.983657282757
283,2083.3333333333335,0,6773.349170652628
284,2083.3333333333335,0,6398.756807803719
285,2083.3333333333335,0,6237.26695695091
286,2083.3333333333335,0,7550.85282010965
287,2083.3333333333335,0,7840.0930670276875
288,2083.3333333333335,0,7855.2704707535995
289,2083.3333333333335,0,7818.309313390395
290,2083.3333333333335,0,7850.148183235744
291,2083.3333333333335,0,7825.960593757338
292,2083.3333333333335,0,7873.705404832489
293,2083.3333333333335,0,7820.252816168979
294,2083.3333333333335,0,6950.345774859475
295,2083.3333333333335,0,5362.219828432271
296,2083.3333333333335,0,2440.2731561433566
297,2083.3333333333335,0,1886.5631757919627
298,2083.3333333333335,0,1199.2312112973086
299,2083.3333333333335,0.0,0
300,2083.3333333333335,0.0,0
301,2083.3333333333335,0.0,0
302,2083.3333333333335,0,3099.952136170141
303,2083.3333333333335,0,3669.9915376919853
304,2083.333333333333,0,4716.614529857414
305,2083.333333333334,0,4720.728133194423
306,2083.333333333334,0,4658.60024033045
307,2083.333333333333,0,4701.296973026121
308,2083.333333333333,0,4424.750803391202
