Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
0,11149.001363123327,92.91
1,9183.762865235172,76.53
2,9628.494475340602,80.24
3,10361.527018655615,86.35
4,12030.082383715284,100.25
5,12037.057383810694,100.31
6,12062.295084007837,100.52
7,12084.636616484517,100.71
8,12120.797570236358,101.01
9,12163.507359437463,101.36
10,11716.075342037226,97.63
11,12228.204806159176,101.9
12,7391.89206717243,61.6
13,7407.247004407539,61.73
14,7029.380588285094,58.58
15,8250.678291830778,68.76
16,9909.520901877242,82.58
17,6995.683562072073,58.3
18,11715.126413080545,97.63
19,12088.557702989605,100.74
20,11461.916011257426,95.52
21,11542.442808198308,96.19
22,11514.210045390053,95.95
23,11535.480116613662,96.13
24,11205.791167896507,93.38
25,9944.202487783956,82.87
26,9968.229258549058,83.07
27,9955.20104989925,82.96
28,8832.571833047814,73.6
29,6919.245972018051,57.66
30,4709.069679050042,39.24
31,5371.626515396199,44.76
32,3778.067919162592,31.48
33,6729.616326117822,56.08
34,4663.795540789064,38.86
35,10849.100956826747,90.41
36,11420.570822168565,95.17
37,11279.138698621131,93.99
38,10376.133688381808,86.47
39,10602.227989091196,88.35
40,10376.781683241843,86.47
41,10032.186985701952,83.6
42,11154.215400602423,92.95
43,6927.392909091085,57.73
44,7260.1757507957955,60.5
45,8945.674582985563,74.55
46,9917.244920602068,82.64
47,7690.410257527885,64.09
48,3584.7808575854565,29.87
49,2030.7883840074028,16.92
50,2170.020323563513,18.08
51,2541.435601613035,21.18
52,3989.287721398171,33.24
53,1838.7422181775814,15.32
54,1690.0600243928052,14.08
55,1767.384976682627,14.73
56,1649.5576127679453,13.75
57,864.5876340160956,7.2
58,760.0459650576637,6.33
59,937.3027728888816,7.81
60,341.868089650041,2.85
61,625.2433769667313,5.21
62,13.696000247349168,0.11
63,0.0,0.0
64,37.204380940345565,0.31
65,57.85073470695407,0.48
66,190.6647111688779,1.59
67,51.33844845315391,0.43
68,27.303765860518066,0.23
69,45.28770777791954,0.38
70,663.0576483400536,5.53
71,611.6690411403822,5.1
72,1217.9275111112295,10.15
73,1630.7861491331757,13.59
74,2837.3723251815613,23.64
75,6612.31965890042,55.1
76,11997.050411002692,99.98
77,12071.203941850115,100.59
78,12122.73667995138,101.02
79,12247.168426818578,102.06
80,12145.051091064559,101.21
81,11814.884521676702,98.46
82,12053.481883221599,100.45
83,11921.511713838578,99.35
84,12236.251158777246,101.97
85,12216.927324808017,101.81
86,12162.232012811679,101.35
87,12152.800892851583,101.27
88,12125.79401027992,101.05
89,12049.911292264098,100.42
90,11866.17056764018,98.88
91,10475.319724496878,87.29
92,10976.382274942494,91.47
93,10401.81617256637,86.68
94,11894.01398472743,99.12
95,12157.32775754941,101.31
96,12189.200876638144,101.58
97,12200.125153554915,101.67
98,12209.150859710335,101.74
99,12203.956979900166,101.7
100,12213.432987739096,101.78
101,12220.550464676979,101.84
102,12222.682750273767,101.86
103,12136.43237848554,101.14
104,12271.139846944598,102.26
105,12273.809039719878,102.28
106,12275.040945374027,102.29
107,11723.101800589582,97.69
108,8181.659308830153,68.18
109,4423.462038267327,36.86
110,1995.9608569482473,16.63
111,2925.784572530189,24.38
112,2975.29699240797,24.79
113,2652.4911602172533,22.1
114,2834.189811318528,23.62
115,4024.905450398788,33.54
116,8352.48742616657,69.6
117,7285.280398037375,60.71
118,2206.218391014441,18.39
119,0.0,0.0
120,60.575600771446204,0.5
121,646.636128335528,5.39
122,1075.964327718561,8.97
123,58.326346470392096,0.49
124,579.3638817191783,4.83
125,840.4154503064251,7.0
126,668.3569160861215,5.57
127,626.641647163313,5.22
128,2234.385526070653,18.62
129,3855.4965580468806,32.13
130,8073.492239791022,67.28
131,6033.243326312555,50.28
132,5113.825030471401,42.62
133,5736.713148234322,47.81
134,4704.2370368727925,39.2
135,3985.035333117595,33.21
136,3514.2727929149582,29.29
137,3229.641135456124,26.91
138,9225.274964171655,76.88
139,5556.0315034974,46.3
140,4090.150304009805,34.08
141,2607.1735077601898,21.73
142,4548.282952241656,37.9
143,4453.755921152617,37.11
144,11498.667169426135,95.82
145,11726.726090415706,97.72
146,10263.532012810807,85.53
147,10479.667990442744,87.33
148,7405.35974636966,61.71
149,6762.896245281642,56.36
150,7495.733214829246,62.46
151,6027.561931173368,50.23
152,6528.890242528037,54.41
153,7912.131403036083,65.93
154,7603.795993444353,63.36
155,9538.553868241737,79.49
156,8143.3451660480405,67.86
157,5023.709274788668,41.86
158,920.1863125439809,7.67
159,500.95059342907894,4.17
160,1434.5198618038735,11.95
161,1003.0475860290045,8.36
162,819.1550508003966,6.83
163,526.310320406215,4.39
164,166.97014949041147,1.39
165,284.083185816081,2.37
166,43.957457252067556,0.37
167,25.312612807660393,0.21
168,142.71960561081036,1.19
169,224.72107595850437,1.87
170,741.9004780003004,6.18
171,3189.442935289276,26.58
172,4438.3315704387605,36.99
173,1626.348465536979,13.55
174,700.1404599265237,5.83
175,1907.524721896038,15.9
176,4093.680456783563,34.11
177,9555.736196085752,79.63
178,11067.610528152049,92.23
179,8977.674350469953,74.81
180,9706.660803483206,80.89
181,8802.519606374199,73.35
182,4480.972838003996,37.34
183,112.1966169356547,0.93
184,117.67126595776193,0.98
185,2168.054495111748,18.07
186,1689.9497441606518,14.08
187,1523.6452029625486,12.7
188,1826.2880189286727,15.22
189,2677.410066489049,22.31
190,1899.5930148371608,15.83
191,1557.428123992118,12.98
192,52.526888840758396,0.44
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,6.549981750270173,0.05
198,42.62329928085977,0.36
199,175.66334073283448,1.46
200,338.0199170082721,2.82
201,694.7886194437973,5.79
202,1433.3519314044431,11.94
203,2008.5482333928835,16.74
204,2502.385224739386,20.85
205,3048.6815103045433,25.41
206,2467.932929477924,20.57
207,1598.4790948347209,13.32
208,521.8081632747823,4.35
209,701.4936275702408,5.85
210,1937.571518140272,16.15
211,10619.119511859599,88.49
212,11765.11476246112,98.04
213,11833.480576441105,98.61
214,11886.80204643388,99.06
215,11898.299136464873,99.15
216,11981.540998797345,99.85
217,12040.962679671211,100.34
218,12065.683195617223,100.55
219,12083.245493661718,100.69
220,12112.219882324687,100.94
221,12138.06183950909,101.15
222,12166.381241971714,101.39
223,12200.51166401658,101.67
224,12234.858475877334,101.96
225,12259.998497657432,102.17
226,12223.839362044324,101.87
227,12298.717644237355,102.49
228,11948.544074365636,99.57
229,12330.878401266065,102.76
230,12092.833092362038,100.77
231,9834.808431513013,81.96
232,5741.647353122765,47.85
233,3698.9428470263388,30.82
234,3153.0595274144816,26.28
235,3008.691681898466,25.07
236,1376.8452202213423,11.47
237,3329.3064005431543,27.74
238,4362.698027726457,36.36
239,2103.6982259133147,17.53
240,2016.7901817670622,16.81
241,1054.4972659210584,8.79
242,0.0,0.0
243,51.07644299323946,0.43
244,0.0,0.0
245,488.3637059890114,4.07
246,5825.8182862759195,48.55
247,9031.569510933545,75.26
248,11114.866632281095,92.62
249,10679.015575684842,88.99
250,10180.579584300674,84.84
251,11667.680979397379,97.23
252,11645.745385877493,97.05
253,11078.298791856467,92.32
254,9744.434424685078,81.2
255,7969.0022806742845,66.41
256,6656.109049347639,55.47
257,7634.510770536123,63.62
258,8934.674135040308,74.46
259,10447.35637883592,87.06
260,9831.345540328206,81.93
261,9127.198124745879,76.06
262,8739.39237414427,72.83
263,7471.424150331241,62.26
264,5231.3627246796705,43.59
265,4900.748729859925,40.84
266,4058.079118758349,33.82
267,2400.0626836620017,20.0
268,2658.2918449418084,22.15
269,2948.3276251118155,24.57
270,2161.8466176851093,18.02
271,1542.183083702148,12.85
272,1091.8755998118459,9.1
273,1248.557606042345,10.4
274,608.6769257570726,5.07
275,579.4614163374555,4.83
276,834.9164681259605,6.96
277,1254.1358059077754,10.45
278,1097.6889971953603,9.15
279,1096.3912651100925,9.14
280,401.65172750926934,3.35
281,333.076891978759,2.78
282,533.9058319712685,4.45
283,1103.5403186013973,9.2
284,1478.1326814503063,12.32
285,1639.622532303116,13.66
286,326.0366691443763,2.72
287,36.79642222633797,0.31
288,21.619018500426186,0.18
289,58.580175863631126,0.49
290,26.741306018281374,0.22
291,50.92889549668819,0.42
292,3.184084421536979,0.03
293,56.63667308504718,0.47
294,926.543714394551,7.72
295,2514.6696608217544,20.96
296,4701.137395208268,39.18
297,5776.834426596994,48.14
298,6361.644928000674,53.01
299,7558.243023376893,62.99
300,9530.309231165553,79.42
301,7684.428572988614,64.04
302,4618.894610908514,38.49
303,4059.6239301366554,33.83
304,3160.2749593966114,26.34
305,3156.161356059603,26.3
306,3218.289248923576,26.82
307,3175.592516227904,26.46
308,3452.1386858628234,28.77
309,2808.8430559715853,23.41
310,2099.9061358687513,17.5
311,1831.2337947472959,15.26
312,1362.7203258312288,11.36
313,2204.750793309815,18.37
314,1468.243525472956,12.24
315,1335.727081729932,11.13
316,1615.5522389537398,13.46
317,2241.523869342962,18.68
318,4065.18664587117,33.88
319,4702.449916824452,39.19
320,4557.300476569938,37.98
321,9132.718473117733,76.11
322,11236.291607888761,93.64
323,9880.082815823625,82.33
324,11488.029720190832,95.73
325,11960.92701698022,99.67
326,11913.76610895863,99.28
327,11823.948672644805,98.53
328,12049.56220044123,100.41
329,12019.401539305116,100.16
330,12083.742400366204,100.7
331,11972.757913841453,99.77
332,12003.684504706413,100.03
333,12127.246061501168,101.06
334,11007.764902400295,91.73
335,6333.286402404308,52.78
336,4688.285377707807,39.07
337,3920.5420281292054,32.67
338,3116.7974946619015,25.97
339,3065.573822024277,25.55
340,2498.191255807532,20.82
341,4280.448439168311,35.67
342,3873.5781606931146,32.28
343,3429.6716420880334,28.58
344,1434.3873553974422,11.95
345,589.7386705441304,4.91
346,1111.510797077391,9.26
347,473.2481246341094,3.94
348,279.13138235236323,2.33
349,44.8197803074906,0.37
350,39.393735318216855,0.33
351,57.245400133193776,0.48
352,224.4852315317088,1.87
353,522.3013711154233,4.35
354,851.920932222614,7.1
355,1143.3867304752785,9.53
356,1194.1692474854196,9.95
357,1468.4888988299158,12.24
358,2501.7060760811005,20.85
359,1208.3017164522237,10.07
360,935.3261955149288,7.79
361,493.624367605843,4.11
362,189.1735389632419,1.58
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,40.98907594606081,0.34
369,560.9865741073256,4.67
370,3216.363499936354,26.8
371,3449.29873204202,28.74
372,2773.9488739454077,23.12
373,2473.011521343236,20.61
374,1590.044146511214,13.25
375,1055.52532326795,8.8
376,673.3098529754685,5.61
377,577.9832019741254,4.82
378,519.1543756570286,4.33
379,265.8539555690359,2.22
380,62.43941960664513,0.52
381,236.7770315955457,1.97
382,127.74741675952306,1.06
383,201.98109797041073,1.68
384,1393.815106924043,11.62
385,1421.339751073702,11.84
386,2935.3886551595165,24.46
387,5548.64321492861,46.24
388,7491.017664752185,62.43
389,9372.930741389264,78.11
390,11321.097174090164,94.34
391,11931.28734543665,99.43
392,11701.916785900514,97.52
393,11093.330438267009,92.44
394,11653.661642835554,97.11
395,10741.608586724064,89.51
396,10766.624000443784,89.72
397,12057.018415217583,100.48
398,8398.600928558253,69.99
399,11962.246333062374,99.69
400,11741.608173842147,97.85
401,7697.98238359182,64.15
402,11499.342447847157,95.83
403,11431.236147037918,95.26
404,8476.098323561237,70.63
405,2557.641176221906,21.31
406,2940.5155487271954,24.5
407,4051.1273015385736,33.76
408,6691.761529642844,55.76
409,4071.2745541099175,33.93
410,4524.120537778741,37.7
411,2303.524144808632,19.2
412,3593.48504002219,29.95
413,4122.191673111812,34.35
414,2141.0059941848745,17.84
415,2308.552811242727,19.24
416,2150.595554873601,17.92
417,2168.7960711381415,18.07
418,1380.7941067284512,11.51
419,2735.381192371483,22.79
420,2042.5794467208548,17.02
421,607.0026525325676,5.06
422,909.1720225237236,7.58
423,3289.937484412539,27.42
424,3981.500393891098,33.18
425,3662.2571073590057,30.52
426,3499.4389786418847,29.16
427,3259.993722064802,27.17
428,2051.908677848182,17.1
429,1028.1629366994562,8.57
430,2309.5982268899247,19.25
431,2514.212743855596,20.95
432,1367.5669437196434,11.4
433,953.6872242404022,7.95
434,775.7613192921289,6.46
435,1407.9636115734183,11.73
436,1685.7634121661126,14.05
437,2956.979431861467,24.64
438,3069.876837121726,25.58
439,1237.683888966963,10.31
440,1272.7681375019895,10.61
441,3338.353863889466,27.82
442,6215.0030995074485,51.79
443,4417.607947501638,36.81
444,6611.374602529844,55.09
445,8095.598231552213,67.46
446,6816.047779228671,56.8
447,3656.4454041065073,30.47
448,5598.0748351203865,46.65
449,2519.507720123259,21.0
450,1674.1170729139883,13.95
451,3240.8684567183523,27.01
452,4299.763871603517,35.83
453,1336.7293525301545,11.14
454,4931.305599758712,41.09
455,4337.335132384356,36.14
456,10103.876728496309,84.2
457,2350.2180578395823,19.59
458,8019.355042313912,66.83
459,8076.6953719410985,67.31
460,10025.31838542944,83.54
461,9887.777544766675,82.4
462,10545.191889749618,87.88
463,10281.347993367068,85.68
464,3979.162469064969,33.16
465,8071.089790902572,67.26
466,11773.696241438754,98.11
467,11795.043651387628,98.29
468,11825.11141086061,98.54
469,11859.627827936536,98.83
470,11909.19164997676,99.24
471,11974.190300201986,99.78
472,12009.585114086869,100.08
473,12056.533547466743,100.47
474,12087.018154103473,100.73
475,12154.876024445311,101.29
476,12210.369663544234,101.75
477,12162.389074871295,101.35
478,12321.38568663634,102.68
479,12356.407086051382,102.97
480,12405.589063638721,103.38
481,12451.136010302052,103.76
482,12488.989295130532,104.07
483,12530.503801498806,104.42
484,9545.28194232021,79.54
485,5796.527737962434,48.3
486,10151.622280837042,84.6
487,8719.244390808277,72.66
488,5501.790394156229,45.85
489,3573.2320645324116,29.78
490,3594.1079182191984,29.95
491,2861.721770445739,23.85
492,501.54801972428453,4.18
493,25.91911927462198,0.22
494,0.0,0.0
495,0.0,0.0
496,52.4894289283209,0.44
497,39.51708682746076,0.33
498,736.1977640071268,6.13
499,18.00751523079774,0.15
500,0.0,0.0
501,0.0,0.0
502,0.0,0.0
503,0.6673509956664712,0.01
504,12.00899494058768,0.1
505,44.63872035669491,0.37
506,694.9411498733103,5.79
507,1313.5731131158836,10.95
508,7754.110169342011,64.62
509,8718.151192760572,72.65
510,7760.607096952492,64.67
511,33.07769672092544,0.28
512,103.55962213717915,0.86
513,1485.1405474160829,12.38
514,3396.1674040932703,28.3
515,9434.3805686568,78.62
516,9590.714673359233,79.92
517,12456.594282462893,103.8
518,12454.20935034712,103.79
519,12350.85883838641,102.92
520,12416.037030631504,103.47
521,12253.865126990993,102.12
522,12606.712426397626,105.06
523,12640.272837730177,105.34
524,12646.63950835393,105.39
525,12394.647792174732,103.29
526,11227.187479079515,93.56
527,12747.502232595934,106.23
528,12775.394409200913,106.46
529,11380.40880610041,94.84
530,10196.929043199234,84.97
531,10915.223925869399,90.96
532,5085.050561799196,42.38
533,5340.863304068868,44.51
534,2670.4601136593506,22.25
535,3762.283156188049,31.35
536,3275.0725016464494,27.29
537,4148.240198794645,34.57
538,5641.788332201116,47.01
539,4659.839323131862,38.83
540,4744.281338449524,39.54
541,2804.7972838155924,23.37
542,3101.5244666791646,25.85
543,3672.265531947544,30.6
544,5369.637265854692,44.75
545,7510.677990530163,62.59
546,11090.191462344435,92.42
547,8902.89478047292,74.19
548,8188.8743857793725,68.24
549,7122.4492579464895,59.35
550,8046.189409364821,67.05
551,5779.790793583111,48.16
552,3713.433640883565,30.95
553,1683.0048288582846,14.03
554,1682.9624492379764,14.02
555,1173.5828285697319,9.78
556,1563.7896206407322,13.03
557,2487.950246443403,20.73
558,4487.955556918175,37.4
559,4212.709607872603,35.11
560,939.2079134205666,7.83
561,1882.0084742738215,15.68
562,3028.2620827592827,25.24
563,2585.2238021904104,21.54
564,3089.290326312344,25.74
565,2686.771113837942,22.39
566,4340.602851950195,36.17
567,6429.305418568653,53.58
568,11661.654009136277,97.18
569,10971.850449146472,91.43
570,12757.505695232636,106.31
571,12868.254127495418,107.24
572,12823.73252037098,106.86
573,12780.992801956954,106.51
574,12415.526720174863,103.46
575,12747.624255423112,106.23
576,12715.893492588777,105.97
577,12980.12331912848,108.17
578,13032.741120275448,108.61
579,13076.605064975616,108.97
580,13114.554373368992,109.29
581,12905.494781230993,107.55
582,12651.909058105279,105.43
583,10741.993718180758,89.52
584,8286.217849818051,69.05
585,5885.947953498193,49.05
586,1752.2016340630487,14.6
587,882.7544237100967,7.36
588,901.9247674823414,7.52
589,46.00841091170231,0.38
590,45.089099716273324,0.38
591,0.0,0.0
592,0.0,0.0
593,13.839580812021278,0.12
594,27.548214398761182,0.23
595,14.414590679006933,0.12
596,0.0,0.0
597,33.52088102480024,0.28
598,18.437661183548673,0.15
599,0.0,0.0
600,0.0,0.0
