Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Desal Annualized CAPEX,0.38713494626700934,$/m3
Desal OPEX,0.5122255886502788,$/m3
Levelized cost of water,0.8993605349172882,$/m3
Levelized cost of electricity (from fossile fuel),0.05,$/kWh
Levelized cost of electricity (from solar field),0.062047083658932904,$/kWh
Levelized cost of electricity (from wind field),0.08365118665258442,$/kWh
Energy cost,0.230185616248501,$/m3
