Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
0,495.93131622432185,4.13
1,2661.9338268084616,22.18
2,3427.271178998672,28.56
3,1541.0793915162335,12.84
4,405.9532407995242,3.38
5,28.01146586632602,0.23
6,37.675768842189854,0.31
7,0.0,0.0
8,0.0,0.0
9,121.21690910838397,1.01
10,1388.649724733243,11.57
11,1701.3227437509108,14.18
12,1859.5822782986252,15.5
13,2738.629368113191,22.82
14,2575.8811197330833,21.47
15,3278.183052740254,27.32
16,662.963379890364,5.52
17,148.9215601931168,1.24
18,58.04988292975287,0.48
19,5.721288786640749,0.05
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,28.374406454248,0.24
24,146.6440852379975,1.22
25,53.03319766409769,0.44
26,246.75252699745994,2.06
27,2595.985360213417,21.63
28,7463.630209412443,62.2
29,505.51907246943824,4.21
30,710.9677219828222,5.92
31,377.4667918727757,3.15
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,26.186532878837447,0.22
39,2622.0887382309297,21.85
40,532.0669910466166,4.43
41,0.0,0.0
42,0.0,0.0
43,377.95713234709484,3.15
44,1667.3326639156935,13.89
45,2337.6742098535187,19.48
46,711.2917476752486,5.93
47,558.2635462072401,4.65
48,5471.205275425827,45.59
49,11043.736874968274,92.03
50,11589.495640802219,96.58
51,11468.95778172863,95.57
52,9381.681254725401,78.18
53,4876.501405642821,40.64
54,3663.042495178049,30.53
55,708.9347478413353,5.91
56,795.5900162951405,6.63
57,0.0,0.0
58,0.0,0.0
59,4204.607687494046,35.04
60,3845.9161624828,32.05
61,2665.7960339993924,22.21
62,1987.6903501144434,16.56
63,5887.443310143105,49.06
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,360.40659505453044,3.0
68,4140.894114927308,34.51
69,9520.088883582453,79.33
70,5076.854337866377,42.31
71,7198.371640428481,59.99
72,4166.181197032495,34.72
73,2349.9646356321127,19.58
74,827.1873188536872,6.89
75,1427.5355690807648,11.9
76,2734.9527258496596,22.79
77,2450.7963384846926,20.42
78,1152.4546828639384,9.6
79,0.0,0.0
80,0.0,0.0
81,540.7106011260653,4.51
82,599.2592713938568,4.99
83,8061.6196787999925,67.18
84,2570.9550796156864,21.42
85,11717.996748809115,97.65
86,11636.970732878832,96.97
87,11832.078225596155,98.6
88,11143.664876594687,92.86
89,6689.802707306471,55.75
90,2403.2478867050713,20.03
91,1675.9913145700114,13.97
92,1336.0844484157415,11.13
93,593.7625227180408,4.95
94,23.19360541806813,0.19
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,11.285401753933394,0.09
99,896.8078761004147,7.47
100,4588.422421802134,38.24
101,4031.7350454721113,33.6
102,1191.2488694158685,9.93
103,1884.3999022065252,15.7
104,1841.3015956678946,15.34
105,2065.936856591303,17.22
106,2600.335027358525,21.67
107,341.879565789229,2.85
108,472.6166613368899,3.94
109,21.234277333791415,0.18
110,10.260797002473616,0.09
111,4621.441790864088,38.51
112,1382.7359585734123,11.52
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,40.05867890297404,0.33
123,4615.66184356588,38.46
124,4438.460710323078,36.99
125,10475.838721035381,87.3
126,5471.41284115308,45.6
127,9614.960363748141,80.12
128,4238.251291709381,35.32
129,6911.483171875171,57.6
130,6861.021595573933,57.18
131,5578.8836838091365,46.49
132,5178.073740992052,43.15
133,6068.113395568239,50.57
134,4466.734766500297,37.22
135,7496.213224107474,62.47
136,3281.5787285787633,27.35
137,510.63744056572057,4.26
138,2681.2399769123035,22.34
139,4501.2792428907715,37.51
140,3963.2720604192905,33.03
141,295.31416341469264,2.46
142,59.595369802726886,0.5
143,960.4918475215716,8.0
144,2777.0202204481852,23.14
145,1381.7518564603724,11.51
146,3654.1625584532103,30.45
147,1550.3936293106494,12.92
148,315.24095739101693,2.63
149,1352.5267854842834,11.27
150,2161.3467606304425,18.01
151,1430.1016247937514,11.92
152,2683.0492453713646,22.36
153,599.0515209990882,4.99
154,33.41998851910443,0.28
155,146.73424831455705,1.22
156,453.8181377447636,3.78
157,63.23215311633418,0.53
158,119.1450582421634,0.99
159,25.367840040850375,0.21
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,51.597904972582256,0.43
166,646.4361076113771,5.39
167,1670.2026783588335,13.92
168,873.2009644148807,7.28
169,1914.2704837203298,15.95
170,3415.179970509444,28.46
171,2383.4764185630866,19.86
172,59.826669578914775,0.5
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,52.69231951045219,0.44
179,68.40292566647378,0.57
180,35.96308520348568,0.3
181,895.0909971228635,7.46
182,1305.8765354060813,10.88
183,60.54547292641531,0.5
184,33.66610589784813,0.28
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,6.199809781461453,0.05
190,27.838003951853764,0.23
191,36.47076928459774,0.3
192,35.857516330473,0.3
193,57.42168589364809,0.48
194,12.359047260621123,0.1
195,25.378319193995363,0.21
196,0.0,0.0
197,48.46413970256504,0.4
198,562.4171374491848,4.69
199,5093.021188533102,42.44
200,3175.931983588023,26.47
201,3759.011389268962,31.33
202,6429.304719385429,53.58
203,10481.68487753286,87.35
204,3848.4750554401166,32.07
205,4054.0388925815537,33.78
206,11583.6739961601,96.53
207,8133.3297895133055,67.78
208,5969.830182717062,49.75
209,294.4794491766131,2.45
210,629.0492005674379,5.24
211,1138.1048743858619,9.48
212,1494.5345320818037,12.45
213,27.503135368456768,0.23
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,767.6138002118197,6.4
219,2398.6092322618406,19.99
220,3032.649659910941,25.27
221,4061.282364835047,33.84
222,8005.224156532407,66.71
223,6761.596012741043,56.35
224,4621.2432508378215,38.51
225,9052.723949203033,75.44
226,7375.348514250984,61.46
227,6322.970457198763,52.69
228,7310.619312662869,60.92
229,4919.950205943465,41.0
230,6586.402778160814,54.89
231,1510.5889259122096,12.59
232,2270.0113574778356,18.92
233,1011.4980511585525,8.43
234,601.0744594038122,5.01
235,18.455915076048065,0.15
236,0.0,0.0
237,0.0,0.0
238,147.63275864463324,1.23
239,47.20748073634733,0.39
240,228.96672333197552,1.91
241,213.6808437665658,1.78
242,3590.091763534445,29.92
243,5297.129149234029,44.14
244,7591.988480036167,63.27
245,959.9125858539459,8.0
246,4858.042241341512,40.48
247,5424.1968714311815,45.2
248,3970.6526621947896,33.09
249,4097.906810837803,34.15
250,5401.824147438921,45.02
251,5628.215219494414,46.9
252,1337.1259313784492,11.14
253,7490.770352282426,62.42
254,4353.98154316657,36.28
255,4479.547382947473,37.33
256,3733.505051921971,31.11
257,43.65204001561225,0.36
258,137.39162301745793,1.14
259,529.695103781165,4.41
260,1367.1164752879768,11.39
261,1335.3517095372908,11.13
262,2180.3913300603017,18.17
263,3833.601757747757,31.95
264,3585.2703535989754,29.88
265,2849.665810038205,23.75
266,1415.5870759645866,11.8
267,1138.8195648658802,9.49
268,575.3685237693186,4.79
269,55.44868085076439,0.46
270,35.17765007878344,0.29
271,574.0558871739391,4.78
272,63.095805385519384,0.53
273,38.19001337066346,0.32
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,20.100804420558063,0.17
279,139.84772249467028,1.17
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,24.36597664919068,0.2
284,300.4491909024826,2.5
285,1525.3943904077041,12.71
286,2774.7636430469784,23.12
