Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
181,559.4318732017897,7.46
182,816.1728346288008,10.88
183,37.84092057900957,0.5
184,21.041316186155075,0.28
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,3.874881113413408,0.05
190,17.3987524699086,0.23
191,22.794230802873592,0.3
192,22.410947706545624,0.3
193,35.88855368353005,0.48
194,7.724404537888202,0.1
195,15.861449496247102,0.21
196,0.0,0.0
197,30.290087314103147,0.4
198,351.5107109057405,4.69
199,3183.138242833189,42.44
200,1984.957489742514,26.47
201,2349.3821182931015,31.33
202,4018.315449615893,53.58
203,6551.053048458038,87.35
204,2405.2969096500724,32.07
205,2533.774307863471,33.78
206,7239.796247600063,96.53
207,5083.331118445816,67.78
208,3731.1438641981636,49.75
209,184.0496557353832,2.45
210,393.1557503546487,5.24
211,711.3155464911638,9.48
212,934.0840825511273,12.45
213,17.18945960528548,0.23
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,479.75862513238735,6.4
219,1499.1307701636508,19.99
220,1895.4060374443382,25.27
221,2538.3014780219046,33.84
222,5003.265097832754,66.71
223,4225.997507963152,56.35
224,2888.277031773638,38.51
225,5657.952468251896,75.44
226,4609.592821406865,61.46
227,3951.856535749227,52.69
228,4569.137070414294,60.92
229,3074.9688787146656,41.0
230,4116.5017363505085,54.89
231,944.1180786951311,12.59
232,1418.7570984236477,18.92
233,632.1862819740952,8.43
234,375.67153712738263,5.01
235,11.534946922530043,0.15
236,0.0,0.0
237,0.0,0.0
238,92.27047415289576,1.23
239,29.50467546021708,0.39
240,143.1042020824847,1.91
241,133.5505273541036,1.78
242,2243.807352209028,29.92
243,3310.705718271268,44.14
244,4744.992800022604,63.27
245,599.9453661587162,8.0
246,3036.2764008384447,40.48
247,3390.123044644488,45.2
248,2481.657913871744,33.09
249,2561.1917567736273,34.15
250,3376.140092149325,45.02
251,3517.6345121840086,46.9
252,835.7037071115307,11.14
253,4681.731470176516,62.42
254,2721.2384644791064,36.28
255,2799.717114342171,37.33
256,2333.440657451232,31.11
257,27.282525009757656,0.36
258,85.86976438591121,1.14
259,331.0594398632281,4.41
260,854.4477970549855,11.39
261,834.594818460807,11.13
262,1362.7445812876883,18.17
263,2396.001098592348,31.95
264,2240.7939709993593,29.88
265,1781.0411312738784,23.75
266,884.7419224778665,11.8
267,711.7622280411751,9.49
268,359.60532735582416,4.79
269,34.655425531727744,0.46
270,21.98603129923965,0.29
271,358.784929483712,4.78
272,39.434878365949615,0.53
273,23.868758356664664,0.32
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,12.563002762848791,0.17
279,87.40482655916891,1.17
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,15.228735405744175,0.2
284,187.78074431405165,2.5
285,953.3714940048152,12.71
286,1734.2272769043614,23.12
287,1580.6936649995207,21.08
288,1911.2183445581054,25.48
289,807.8060244043719,10.77
290,999.098635669108,13.32
291,867.223883750539,11.56
292,78.98534479309339,1.05
293,15.677910866447496,0.21
294,1.6107679180954952,0.02
295,25.00101819084318,0.33
296,12.943391459832297,0.17
297,0.0,0.0
298,0.0,0.0
299,0.0,0.0
300,11.838796589178715,0.16
301,40.01723239096437,0.53
302,260.75298258611633,3.48
303,36.7983341066856,0.49
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,25.239569578614102,0.34
309,61.097031995442194,0.81
310,268.55578399004645,3.58
311,279.05215355853363,3.72
312,208.84857943868016,2.78
313,37.11511154846097,0.49
314,16.35044519224784,0.22
315,307.08511838168585,4.09
316,376.37113972274466,5.02
317,387.2246578868302,5.16
318,271.9789623905589,3.63
319,136.88954169121266,1.83
320,39.771972236884444,0.53
321,198.6344361258351,2.65
322,87.50405629551241,1.17
323,2214.9969023360795,29.53
324,2147.1468946843647,28.63
325,550.7617134777032,7.34
326,452.6924838292708,6.04
327,24.65960203109805,0.33
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,12.473695178893665,0.17
335,210.3276095449299,2.8
336,707.0091335964798,9.43
337,122.06954661195498,1.63
338,0.0,0.0
339,2219.6648155632315,29.6
340,4731.028929446192,63.08
341,708.2474792245429,9.44
342,1061.3839407801845,14.15
343,1561.7412229273489,20.82
344,698.129318608236,9.31
345,36.35053882488571,0.48
346,14.710610552583143,0.2
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.40399767712485524,0.01
358,0.0,0.0
359,0.0,0.0
360,37.92841022767221,0.51
361,2.8174398642931076,0.04
362,0.0,0.0
363,3736.99077233006,49.83
364,3387.76723333887,45.17
365,1898.6544861340585,25.32
366,539.3675284690236,7.19
367,2171.9765899231966,28.96
368,1018.146640000739,13.58
369,164.74748256113105,2.2
370,1390.634535040553,18.54
371,2494.4256185305558,33.26
372,6664.676607405813,88.86
373,3700.6309620041457,49.34
374,411.3243644017288,5.48
375,553.1248160765821,7.37
376,0.0,0.0
377,0.0,0.0
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,23.544140362083773,0.31
385,257.45275042268537,3.43
386,1584.7984532029893,21.13
387,7296.456377598957,97.29
388,7043.355582432939,93.91
389,6917.626317702615,92.24
390,7232.4250824334085,96.43
391,6704.029986375159,89.39
392,6219.658427226266,82.93
393,6853.524630761041,91.38
394,6348.025116277326,84.64
395,6112.202938433312,81.5
396,7314.807769228044,97.53
397,7176.253709822139,95.68
398,6806.43269197845,90.75
399,5763.870795916046,76.85
400,3465.45959167712,46.21
401,1896.2899706480002,25.28
402,7207.182497346599,96.1
403,4839.203849899333,64.52
404,2692.7394433886307,35.9
405,2947.99024295851,39.31
406,4732.65060421409,63.1
407,3388.2510523140495,45.18
408,5892.502689799847,78.57
409,6600.335184141477,88.0
410,6496.627933081237,86.62
411,6961.226841627066,92.82
412,1204.4699195169424,16.06
413,1773.9276807834437,23.65
414,1776.9579761512427,23.69
415,1476.654782442231,19.69
416,369.85821085360516,4.93
417,793.3375712643586,10.58
418,0.0,0.0
419,0.0,0.0
420,12.54381580544298,0.17
421,24.24918297339633,0.32
422,233.60111290562492,3.11
423,243.74734637772852,3.25
424,0.0,0.0
425,0.0,0.0
426,0.0,0.0
427,0.0,0.0
428,0.0,0.0
429,34.35216126653727,0.46
430,27.039756014720666,0.36
431,0.0,0.0
432,0.0,0.0
433,3973.2011451833814,52.98
434,3136.1097132208433,41.81
435,1530.6952257372507,20.41
436,30.333152036103225,0.4
437,0.0,0.0
438,0.0,0.0
439,66.44986033089413,0.89
440,0.0,0.0
441,0.0,0.0
442,0.0,0.0
443,0.0,0.0
444,0.0,0.0
445,0.0,0.0
446,0.0,0.0
447,355.772739302232,4.74
448,9.033555351040924,0.12
449,0.0,0.0
450,0.0,0.0
451,0.0,0.0
452,0.0,0.0
453,0.0,0.0
454,0.0,0.0
455,0.0,0.0
456,9.88533258820943,0.13
457,9.917815581736388,0.13
458,4953.701716773923,66.05
459,5530.269791226373,73.74
460,6190.74490771591,82.54
461,3931.0613364711303,52.41
462,3355.4509808124735,44.74
463,6541.055438147442,87.21
464,3046.6424698383694,40.62
465,24.895843851338412,0.33
466,0.7803362732144618,0.01
467,16.004197973937334,0.21
468,0.0,0.0
469,0.0,0.0
470,0.0,0.0
471,0.0,0.0
472,0.0,0.0
473,0.0,0.0
474,0.0,0.0
475,0.0,0.0
476,0.0,0.0
477,0.0,0.0
478,0.0,0.0
479,0.0,0.0
480,23.126200267103375,0.31
481,68.00465305381688,0.91
482,34.51378265731648,0.46
483,365.5256553390447,4.87
484,6093.128222270065,81.24
485,2625.679015999884,35.01
486,1077.7253895727156,14.37
487,0.0,0.0
488,0.0,0.0
489,0.0,0.0
490,0.0,0.0
491,0.0,0.0
492,38.18738209486763,0.51
493,0.39078828229708773,0.01
494,0.0,0.0
495,1538.2391650402853,20.51
496,293.4178538038496,3.91
497,11.263922094056424,0.15
498,0.0,0.0
499,0.0,0.0
500,0.0,0.0
501,0.0,0.0
502,0.0,0.0
503,0.0,0.0
504,2.2543003969737256,0.03
505,26.401133733470115,0.35
506,6765.019085975393,90.2
507,2489.935095408669,33.2
508,2119.2265618858332,28.26
509,130.32406257664104,1.74
510,960.2170151999482,12.8
511,22.392711814163437,0.3
512,14.349109827537385,0.19
513,3762.552703960993,50.17
514,5637.260596286938,75.16
515,4782.300577649008,63.76
516,4691.910446639758,62.56
517,3543.4943347616677,47.25
518,1986.6974805793996,26.49
519,1860.1609180434732,24.8
520,2009.3805482592516,26.79
521,59.16813351309576,0.79
522,33.397961022747836,0.45
523,0.0,0.0
524,4.173287997238098,0.06
525,0.0,0.0
526,0.0,0.0
527,0.0,0.0
528,0.0,0.0
529,27.87206513273012,0.37
530,29.109374104359148,0.39
531,23.511557435753193,0.31
532,0.0,0.0
533,35.0374013890838,0.47
534,301.2307588479045,4.02
535,580.7920808475714,7.74
536,239.1562596890106,3.19
537,27.093866602895492,0.36
538,615.6804267128766,8.21
539,522.1877669056995,6.96
540,535.4892391046862,7.14
541,323.97632365090305,4.32
542,663.1547543439297,8.84
543,946.022549640913,12.61
544,591.3813305806627,7.89
545,302.1020116268061,4.03
546,1010.2872798020709,13.47
547,338.7201101776139,4.52
548,160.8360434004134,2.14
549,7.901879204932459,0.11
550,0.0,0.0
551,0.0,0.0
552,0.0,0.0
553,2111.2791633713277,28.15
554,1156.3724322081682,15.42
555,1384.8625498072001,18.46
556,2428.272367317693,32.38
557,3021.712823926478,40.29
558,3821.6754357367836,50.96
559,3468.9353936668417,46.25
560,2143.341289570003,28.58
561,4726.128788671613,63.02
562,4176.549133121462,55.69
563,3353.06724819399,44.71
564,1576.7014102236153,21.02
565,764.1132607310697,10.19
566,240.9627454862862,3.21
567,45.652121178954076,0.61
568,11.231823215742512,0.15
569,6.204166601267815,0.08
570,0.0,0.0
571,0.0,0.0
572,5.764209039200512,0.08
573,5.749182365253528,0.08
574,25.99334383948596,0.35
575,176.19397291345285,2.35
576,29.408376269493374,0.39
577,0.0,0.0
578,0.0,0.0
579,0.0,0.0
580,0.0,0.0
581,21.85436431149861,0.29
582,17.272432112653494,0.23
583,0.0,0.0
584,0.0,0.0
585,0.0,0.0
586,0.0,0.0
587,0.0,0.0
588,0.0,0.0
589,0.0,0.0
590,0.0,0.0
591,0.0,0.0
592,0.0,0.0
593,0.0,0.0
594,825.6434855422259,11.01
595,22.608688613044006,0.3
596,0.0,0.0
597,6.117884742229886,0.08
598,0.0,0.0
599,0.0,0.0
600,0.0,0.0
601,139.4511455030921,1.86
602,190.3070438680484,2.54
603,554.2662574412092,7.39
604,6078.895292032404,81.05
605,1203.6988732144175,16.05
606,937.8557113994453,12.5
607,24.90245094284179,0.33
608,0.0,0.0
609,36.04014951623423,0.48
610,2560.2889192467755,34.14
611,1237.2548746466305,16.5
612,800.1929187300601,10.67
613,1441.9790864322254,19.23
614,408.1099595849773,5.44
615,0.0,0.0
616,0.0,0.0
617,0.0,0.0
618,0.0,0.0
619,1565.1965378100217,20.87
620,1930.561777931218,25.74
621,2128.831634610006,28.38
622,1918.282796869066,25.58
623,3131.7911058416257,41.76
624,2162.633468023184,28.84
625,1597.4946439887005,21.3
626,520.87765687441,6.95
627,311.6142192677418,4.15
628,263.4396902797268,3.51
629,34.02339203758303,0.45
630,0.0,0.0
631,0.0,0.0
632,0.0,0.0
633,0.0,0.0
634,0.0,0.0
635,0.0,0.0
636,16.30324707565611,0.22
637,23.72917860276956,0.32
638,16.404256768514834,0.22
639,0.0,0.0
640,0.0,0.0
641,0.0,0.0
642,0.0,0.0
643,0.0,0.0
644,0.0,0.0
645,0.0,0.0
646,44.9799863162395,0.6
647,34.78989109653995,0.46
648,1567.2124514366176,20.9
649,37.34823601991651,0.5
650,1108.1656354546421,14.78
651,6480.076379554406,86.4
652,3337.479861964757,44.5
653,2518.1994760233283,33.58
654,5692.5026910092865,75.9
655,5572.642690200024,74.3
656,699.7358538368462,9.33
657,3932.212705023713,52.43
658,1489.0264814525221,19.85
659,1183.6267147301116,15.78
660,2537.592895774075,33.83
661,2672.3926698078917,35.63
662,5731.210332893601,76.42
663,2776.1263838670434,37.02
664,5945.087684574314,79.27
665,5661.417717474917,75.49
666,1944.46582450895,25.93
667,1467.122833459889,19.56
668,2337.685710224324,31.17
669,3393.3637221938206,45.24
670,3169.448650697642,42.26
671,2540.8587873843203,33.88
672,3154.568197446044,42.06
673,1897.0524167878204,25.29
674,3267.8884814874627,43.57
675,2831.827725501553,37.76
676,2529.8382290752347,33.73
677,1835.0537938087386,24.47
678,515.2019212465382,6.87
679,565.5461356270746,7.54
680,92.44007935653477,1.23
681,289.997888124375,3.87
682,2854.6336583596626,38.06
683,4238.452409418152,56.51
684,3805.1068581273325,50.73
685,3088.020997960206,41.17
686,3105.597332587889,41.41
687,1706.3920608483334,22.75
688,675.382969061463,9.01
689,360.887133385042,4.81
690,928.5800923458169,12.38
691,1210.5376778366362,16.14
692,2378.947835468716,31.72
693,2444.087611491939,32.59
694,4463.374015510418,59.51
695,5798.2846104621285,77.31
696,3841.643108191778,51.22
697,5596.590882492788,74.62
698,2953.762007777652,39.38
699,3230.4357220397783,43.07
700,2940.809769849037,39.21
701,12.688610965174089,0.17
702,859.5533933957853,11.46
703,4.768435864651763,0.06
704,0.0,0.0
705,0.0,0.0
706,2.7873279700213964,0.04
707,2.8029160712797045,0.04
708,86.32036624411577,1.15
709,809.9876554860239,10.8
710,638.7483936553554,8.52
711,125.53532099302349,1.67
712,174.53561534015915,2.33
713,37.217537843722475,0.5
714,38.96021297649112,0.52
715,11.887087208905015,0.16
716,0.0,0.0
717,0.0,0.0
718,0.0,0.0
719,0.0,0.0
720,27.10160357534237,0.36
721,21.58843131564985,0.29
722,0.0,0.0
723,0.0,0.0
724,0.0,0.0
725,0.0,0.0
726,0.0,0.0
727,23.390637681784796,0.31
728,26.903249498854994,0.36
729,400.67061717516236,5.34
730,843.1852081732828,11.24
731,529.1774786364415,7.06
