Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Desal Annualized CAPEX,0.38713494626700934,$/m3
Desal OPEX,0.5028990048847449,$/m3
Levelized cost of water,0.8900339511517543,$/m3
Levelized cost of electricity (from fossile fuel),0.05,$/kWh
Levelized cost of electricity (from solar field),0.0620494102362118,$/kWh
Levelized cost of electricity (from wind field),0.08365118665258443,$/kWh
Energy cost,0.22085903248296707,$/m3
