Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Storage Capacity,0.0,kWh
Total water production,18250000.00000112,m3
Total fossil fuel usage,46276970.35238441,kWh
Percentage of fossil fuel consumption,67.06656453480524,%
Curtailed solar electric energy,0.05305025312832743,GWh
Percentage of curtailed energy,0.2329050426846919,%

Hour,Water production (m3),Storage status (kWh),Fossil fuel usage (kWh)
0,2083.3333333333335,0,3231.472254619306
1,2083.3333333333335,0,4050.3216287393707
2,2083.3333333333335,0,3865.0167911954413
3,2083.3333333333335,0,3559.5865648141853
4,2083.3333333333335,0,2864.3551627059906
5,2083.3333333333335,0,2861.4489126662365
6,2083.3333333333335,0,2850.9332042507604
7,2083.3333333333335,0,2841.6242323854776
8,2083.3333333333335,0,2648.1710784858133
9,2083.3333333333335,0,1247.3846800473393
10,2083.3333333333335,0,1662.3048387648023
11,2083.3333333333335,0,224.74116680214047
12,2083.3333333333335,0,2896.637568357245
13,2083.3333333333335,0,3715.4910208745223
14,2083.3333333333335,0,4684.983164623284
15,2083.3333333333335,0,4297.104992861212
16,2083.3333333333335,0,3747.9224468051743
17,2083.3333333333335,0,4962.021338390662
18,2083.3333333333335,0,2995.586817137132
19,2083.3333333333335,0,2839.9904463416897
20,2083.3333333333335,0,3101.091151230098
21,2083.3333333333335,0,3067.538319171398
22,2083.3333333333335,0,3079.301970341503
23,2083.3333333333335,0,3070.439440665001
24,2083.3333333333335,0,3207.809835963816
25,2083.3333333333335,0,3733.4717860107103
26,2083.3333333333335,0,3723.460631525252
27,2083.3333333333335,0,3728.8890517960044
28,2083.333333333334,0,4196.651225484104
29,2083.3333333333335,0,4993.870334246504
30,2083.3333333333335,0,5914.777122983175
31,2083.333333333333,0,5638.711774505609
32,2083.333333333334,0,5282.846085472254
33,2083.3333333333335,0,4769.354574724978
34,2083.3333333333335,0,5700.70861571703
35,2083.3333333333335,0,3260.4540676412016
36,2083.3333333333335,0,1558.0149409863116
37,2083.3333333333335,0,1824.322316262117
38,2083.3333333333335,0,2390.068693262552
39,2083.3333333333335,0,3361.4727294870254
40,2083.3333333333335,0,3553.2304545699244
41,2083.3333333333335,0,3696.811578544878
42,2083.3333333333335,0,3229.299739003016
43,2083.3333333333335,0,4990.4757771327395
44,2083.3333333333335,0,4851.8162597557775
45,2083.333333333334,0,4149.525079676709
46,2083.3333333333335,0,3744.70410566983
47,2083.3333333333335,0,4672.551881950741
48,2083.3333333333335,0,6383.2307985934185
49,2083.3333333333335,0,7030.727662584274
50,2083.3333333333335,0,6972.714354435895
51,2083.3333333333335,0,6817.957988581928
52,2083.333333333334,0,6214.686272004788
53,2083.3333333333335,0,7110.7468983467
54,2083.3333333333335,0,7172.69781242369
55,2083.3333333333335,0,7140.479082302931
56,2083.3333333333335,0,7098.668043966446
57,2083.3333333333335,0,7407.0657868608205
58,2083.3333333333335,0,7342.79314431128
59,2083.3333333333335,0,6544.481167327764
60,2083.333333333334,0,6149.89558752471
61,2083.3333333333335,0,4362.938555596533
62,2083.333333333334,0,5308.805208831589
63,2083.3333333333335,0,7385.123051858933
64,2083.3333333333335,0,7861.387663862215
65,2083.3333333333335,0,7852.785016459461
66,2083.3333333333335,0,7797.445859600327
67,2083.3333333333335,0,7855.498469065212
68,2083.3333333333335,0,7865.5129201454765
69,2083.3333333333335,0,7858.019611013226
70,2083.3333333333335,0,7600.6154691123365
71,2083.3333333333335,0,7622.027388778866
72,2083.3333333333335,0,7369.41969295768
73,2083.3333333333335,0,7197.395260448536
74,2083.3333333333335,0,6694.651020428375
75,2083.333333333333,0,5121.756298045517
76,2083.3333333333335,0,2878.1184846695714
77,2083.3333333333335,0,2847.2211801498097
78,2083.3333333333335,0,2825.7492059409497
79,2083.3333333333335,0,2773.9026447462847
80,2083.3333333333335,0,2712.574820298669
81,2083.3333333333335,0,2844.7470404816677
82,2083.3333333333335,0,2559.3620208611937
83,2083.3333333333335,0,2038.0033932040624
84,2083.3333333333335,0.0,0
85,2083.3333333333335,0,2346.046485372124
86,2083.3333333333335,0,1980.479055093876
87,2083.3333333333335,0,2378.23195878924
88,2083.3333333333335,0,2824.4753183040584
89,2083.3333333333335,0,2856.0931174773177
90,2083.3333333333335,0,2932.6517527372844
91,2083.3333333333335,0,3512.1729373803255
92,2083.3333333333335,0,3303.396874694654
93,2083.3333333333335,0,3542.7994173513707
94,2083.3333333333335,0,2921.0503289509297
95,2083.3333333333335,0,2811.3362569417714
96,2083.3333333333335,0,2798.0557906547992
97,2083.3333333333335,0,2793.5040086061445
98,2083.3333333333335,0,2789.7432977080534
99,2083.3333333333335,0,2791.9074142956233
100,2083.3333333333335,0,2787.9590776960686
101,2083.3333333333335,0,2784.993462305285
102,2083.3333333333335,0,2784.10500997329
103,2083.3333333333335,0,2820.0426648850507
104,2083.3333333333335,0,2629.883247014699
105,2083.3333333333335,0,428.1154991199792
106,2083.3333333333335,0,2298.510781932918
107,2083.3333333333335,0.0,0
108,2083.3333333333335,0,973.9122581252377
109,2083.3333333333335,0,2747.063695961324
110,2083.333333333334,0,4411.568298039965
111,2083.3333333333335,0,5322.598938672661
112,2083.3333333333335,0,6637.182409084038
113,2083.3333333333335,0,6771.684839163503
114,2083.3333333333335,0,6695.977067871306
115,2083.3333333333335,0,6199.845551587864
116,2083.333333333334,0,4396.686395017956
117,2083.333333333334,0,4841.355990071786
118,2083.333333333334,0,6957.631826331342
119,2083.3333333333335,0,7876.889489254026
120,2083.3333333333335,0,7851.649655599256
121,2083.3333333333335,0,7607.457769114222
122,2083.3333333333335,0,7428.571019371292
123,2083.3333333333335,0,7852.5868448913625
124,2083.3333333333335,0,7635.487871871034
125,2083.3333333333335,0,7526.716384959682
126,2083.3333333333335,0,7598.407440884808
127,2083.3333333333335,0,7615.788802935978
128,2083.333333333333,0,6047.877822095892
129,2083.3333333333335,0,4717.471793983668
130,2083.3333333333335,0,4028.31548479618
131,2083.3333333333335,0,2857.740441340934
132,2083.3333333333335,0,3607.1346416553833
133,2083.333333333333,0,4143.289707546692
134,2083.3333333333335,0,3458.94315355866
135,2083.333333333333,0,5007.002532934814
136,2083.3333333333335,0,6412.609158872793
137,2083.3333333333335,0,6531.205682813974
