Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Desal Annualized CAPEX,0.38713494626700934,$/m3
Desal OPEX,0.49062653657533073,$/m3
Levelized cost of water,0.8777614828423401,$/m3
Levelized cost of electricity (from fossile fuel),0.05,$/m3
Levelized cost of electricity (from solar field),0.09174220809452885,$/m3
Levelized cost of electricity (from wind field),3.606070995164546e-05,$/m3
Energy cost,0.20858656417355287,$/m3
