Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
0,4645.4172346347195,92.91
1,3826.567860514655,76.53
2,4011.8726980585843,80.24
3,4317.30292443984,86.35
4,5012.534326548035,100.25
5,5015.440576587789,100.31
6,5025.956285003265,100.52
7,5035.265256868548,100.71
8,5050.332320931816,101.01
9,5068.128066432276,101.36
10,4881.698059182177,97.63
11,5095.085335899657,101.9
12,3079.955027988512,61.6
13,3086.3529185031416,61.73
14,2928.9085784521226,58.58
15,3437.7826215961572,68.76
16,4128.967042448851,82.58
17,2914.8681508633636,58.3
18,4881.3026721168935,97.63
19,5036.899042912336,100.74
20,4775.7983380239275,95.52
21,4809.3511700826275,96.19
22,4797.587518912523,95.95
23,4806.450048589025,96.13
24,4669.0796532902095,93.38
25,4143.417703243315,82.87
26,4153.428857728773,83.07
27,4148.000437458021,82.96
28,3680.2382637699225,73.6
29,2883.0191550075215,57.66
30,1962.1123662708508,39.24
31,2238.177714748416,44.76
32,1574.1949663177465,31.48
33,2804.0068025490928,56.08
34,1943.2481419954436,38.86
35,4520.458732011143,90.41
36,4758.571175903569,95.17
37,4699.6411244254705,93.99
38,4323.389036825753,86.47
39,4417.594995454666,88.35
40,4323.659034684101,86.47
41,4180.077910709148,83.6
42,4647.58975025101,92.95
43,2886.413712121286,57.73
44,3025.073229498248,60.5
45,3727.3644095773175,74.55
46,4132.185383584196,82.64
47,3204.337607303285,64.09
48,1493.6586906606074,29.87
49,846.1618266697512,16.92
50,904.1751348181305,18.08
51,1058.931500672098,21.18
52,1662.2032172492377,33.24
53,766.1425909073256,15.32
54,704.1916768303354,14.08
55,736.4104069510946,14.73
56,687.3156719866438,13.75
57,360.24484750670655,7.2
58,316.68581877402653,6.33
59,390.542822037034,7.81
60,142.44503735418374,2.85
61,260.51807373613804,5.21
62,5.7066667697288205,0.11
63,0.0,0.0
64,15.501825391810653,0.31
65,24.104472794564195,0.48
66,79.44362965369912,1.59
67,21.391020188814135,0.43
68,11.376569108549194,0.23
69,18.86987824079981,0.38
70,276.27402014168894,5.53
71,254.86210047515928,5.1
72,507.4697962963457,10.15
73,679.4942288054898,13.59
74,1182.2384688256504,23.64
75,2755.1331912085084,55.1
76,4998.771004584454,99.98
77,5029.668309104216,100.59
78,5051.140283313076,101.02
79,5102.986844507741,102.06
80,5060.437954610235,101.21
81,4922.868550698626,98.46
82,5022.284118008999,100.45
83,4967.296547432741,99.35
84,5098.4379828238525,101.97
85,5090.386385336675,101.81
86,5067.596672004866,101.35
87,5063.66703868816,101.27
88,5052.414170949967,101.05
89,5020.796371776708,100.42
90,4944.237736516741,98.88
91,4364.7165518737,87.29
92,4573.492614559372,91.47
93,4334.090071902655,86.68
94,4955.839160303096,99.12
95,5065.553232312254,101.31
96,5078.833698599226,101.58
97,5083.385480647881,101.67
98,5087.146191545972,101.74
99,5084.982074958402,101.7
100,5088.930411557957,101.78
101,5091.896026948741,101.84
102,5092.7844792807355,101.86
103,5056.846824368975,101.14
104,5112.974936226916,102.26
105,5114.0870998832825,102.28
106,5114.600393905845,102.29
107,4884.625750245659,97.69
108,3409.0247120125637,68.18
109,1843.1091826113868,36.86
110,831.6503570617697,16.63
111,1219.076905220912,24.38
112,1239.7070801699874,24.79
113,1105.2046500905224,22.1
114,1180.91242138272,23.62
115,1677.0439376661618,33.54
116,3480.2030942360702,69.6
117,3035.5334991822397,60.71
118,919.2576629226837,18.39
119,0.0,0.0
120,25.23983365476925,0.5
121,269.43172013980336,5.39
122,448.3184698827338,8.97
123,24.302644362663376,0.49
124,241.401617382991,4.83
125,350.17310429434383,7.0
126,278.48204836921735,5.57
127,261.1006863180471,5.22
128,930.9939691961055,18.62
129,1606.4568991862002,32.13
130,3363.9550999129256,67.28
131,2513.851385963564,50.28
132,2130.760429363084,42.62
133,2390.297145097634,47.81
134,1960.0987653636637,39.2
135,1660.431388798998,33.21
136,1464.2803303812325,29.29
137,1345.6838064400517,26.91
138,3843.8645684048565,76.88
139,2315.01312645725,46.3
140,1704.2292933374188,34.08
141,1086.322294900079,21.73
142,1895.1178967673568,37.9
143,1855.7316338135906,37.11
144,4791.111320594223,95.82
145,4886.135871006544,97.72
146,4276.471672004503,85.53
147,4366.528329351144,87.33
148,3085.566560987358,61.71
149,2817.8734355340175,56.36
150,3123.2221728455193,62.46
151,2511.484137988903,50.23
152,2720.370934386682,54.41
153,3296.721417931701,65.93
154,3168.248330601814,63.36
155,3974.397445100724,79.49
156,3393.0604858533497,67.86
157,2093.212197828612,41.86
158,383.41096355999207,7.67
159,208.7294139287829,4.17
160,597.7166090849473,11.95
161,417.9364941787519,8.36
162,341.3146045001652,6.83
163,219.29596683592297,4.39
164,69.57089562100477,1.39
165,118.36799409003376,2.37
166,18.315607188361483,0.37
167,10.54692200319183,0.21
168,59.46650233783766,1.19
169,93.63378164937683,1.87
