Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Storage Capacity,0.0,kWh
Total water production,18250000.00000112,m3
Total fossil fuel usage,44871428.78525092,kWh
Percentage of fossil fuel consumption,65.0295935857411,%
Curtailed solar electric energy,1.2877101574056335,GWh
Percentage of curtailed energy,5.06616808091924,%

Hour,Water production (m3),Storage status (kWh),Fossil fuel usage (kWh)
0,2083.3333333333335,0,7752.906660197945
1,2083.3333333333335,0,7211.40603255191
2,2083.3333333333335,0,7020.071694504358
3,2083.3333333333335,0,7491.619641374968
4,2083.3333333333335,0,7775.401179054144
5,2083.3333333333335,0,7869.886622787444
6,2083.3333333333335,0,7867.470547043478
7,2083.3333333333335,0,7876.889489254026
8,2083.333333333334,0,4951.79029524874
9,2083.3333333333335,0,1953.445958841
10,2083.3333333333335,0.0,0
11,2083.3333333333335,0.0,0
12,2083.3333333333335,0.0,0
13,2083.3333333333335,0.0,0
14,2083.3333333333335,0.0,0
15,2083.3333333333335,0,1325.4679001086924
16,2083.3333333333335,0,4719.027145147757
17,2083.3333333333335,0,7839.659099205746
18,2083.3333333333335,0,7862.377018521587
19,2083.3333333333335,0,7875.459167057365
20,2083.3333333333335,0,7876.889489254026
21,2083.3333333333335,0,7876.889489254026
22,2083.3333333333335,0,7876.889489254026
23,2083.3333333333335,0,7869.795887640464
24,2083.3333333333335,0,7840.2284679445265
25,2083.3333333333335,0,7863.631189838001
26,2083.3333333333335,0,7815.20135750466
27,2083.3333333333335,0,7227.893149200671
28,2083.3333333333335,0,6010.981936900915
29,2083.3333333333335,0,7750.5097211366665
30,2083.3333333333335,0,7699.14755875832
31,2083.3333333333335,0,7782.522791285832
32,2083.333333333334,0,5018.897750947528
33,2083.3333333333335,0,2030.2486494530503
34,2083.3333333333335,0,183.82660913158088
35,2083.3333333333335,0.0,0
36,2083.3333333333335,0.0,0
37,2083.3333333333335,0.0,0
